fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 11:14:38 AM
VariableInfo
Name:	oxygraph9.Marker1
Size:	12 x 2
Type:	Numeric
Content:	Marker
Date:	12/18/2023 11:14:26 AM
Notes:	Marker saved by Oxygraph from files C:\Users\Anette Johansson\Documents\COBI Studio Data\friska kontroller\2011K\MALIN_2011K_1_04260836.oxy, C:\Users\Anette Johansson\Documents\COBI Studio Data\friska kontroller\2011K\MALIN_2011K_1_04260836_C.mrk
Labels:	MARKER
VariableData
Marker	Marker
MarkerTime	MarkerType
13.825	-5
32.948	101
46.645	101
119.388	101
212.099	102
318.585	103
388.739	104
528.454	105
595.347	106
662.895	107
1075.128	108
1093.48	-1
