fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 11:14:37 AM
VariableInfo
Name:	oxygraph9.hbo.Block1
Size:	2118 x 16
Type:	Numeric
Content:	Hemoglobin
Date:	12/18/2023 11:14:26 AM
Notes:	Oxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\Anette Johansson\Documents\COBI Studio Data\friska kontroller\2011K\MALIN_2011K_1_04260836.oxy
Labels:	HBO	DATA
VariableData
Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin
Optode1	Optode2	Optode3	Optode4	Optode5	Optode6	Optode7	Optode8	Optode9	Optode10	Optode11	Optode12	Optode13	Optode14	Optode15	Optode16
-0.414173	-0.229393	-0.324921	-0.393429	-0.836546	-0.361487	-0.456664	-0.612037	-0.542993	-0.320678	-0.396094	-0.532085	-0.171487	-0.408588	-0.017463	0.308986
-0.584435	-0.212278	-0.204593	-0.3688	-0.813436	-0.317829	-0.431057	-0.580674	-0.482117	-0.30203	-0.33158	-0.448815	-0.198282	-0.450292	-0.035893	0.342417
-0.659645	-0.340699	-0.361847	-0.489084	-0.698202	-0.232471	-0.366489	-0.454627	-0.460588	-0.323025	-0.310762	-0.447925	-0.065138	-0.323842	0.114138	0.46013
-0.716627	-0.156538	-0.35747	-0.434391	-0.859681	-0.407363	-0.470061	-0.643403	-0.337617	-0.164535	-0.169252	-0.237628	0.207733	-0.092643	0.518511	0.696371
-0.52762	0.038913	-0.227096	-0.396704	-0.844469	-0.364709	-0.432222	-0.596079	-0.216521	-0.032296	-0.037982	-0.027476	0.087272	-0.176125	0.299281	0.663261
-0.301298	0.293939	-0.068906	-0.314782	-0.675116	-0.189716	-0.355386	-0.422617	-0.397708	-0.243774	-0.17069	-0.257113	0.007872	-0.196776	0.182419	0.646492
-0.171868	0.33356	-0.050919	-0.274928	-0.763679	-0.322005	-0.435741	-0.54759	-0.377029	-0.222754	-0.18189	-0.23247	0.000137	-0.259705	-0.041065	0.61298
-0.249182	0.271131	-0.181174	-0.308754	-0.694475	-0.258881	-0.364553	-0.466944	-0.298275	-0.1299	-0.072333	-0.040875	-0.032535	-0.302436	0.087995	0.578757
-0.697311	0.147162	-0.241161	-0.389178	-0.655877	-0.214025	-0.338851	-0.434863	-0.279679	-0.132395	-0.040126	0.04478	0.182051	-0.069837	0.376831	0.71407
-0.395927	0.322041	-0.157713	-0.349454	-0.706254	-0.281343	-0.368054	-0.448496	-0.278629	-0.090344	-0.062042	-0.018016	0.175007	-0.068886	0.329567	0.697342
-0.678318	0.322041	-0.296956	-0.389178	-0.683	-0.194575	-0.320041	-0.400255	-0.340629	-0.153402	-0.08351	-0.039725	0.122777	-0.154541	0.316489	0.62903
-0.88483	0.102144	-0.436011	-0.448235	-0.582596	-0.060275	-0.216991	-0.275409	-0.279679	-0.071834	-0.007045	0.110026	0.198742	-0.04858	0.346647	0.662511
