fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 11:14:37 AM
VariableInfo
Name:	oxygraph9.hbr.Block1
Size:	2118 x 16
Type:	Numeric
Content:	Hemoglobin
Date:	12/18/2023 11:14:26 AM
Notes:	Deoxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\Anette Johansson\Documents\COBI Studio Data\friska kontroller\2011K\MALIN_2011K_1_04260836.oxy
Labels:	HBR	DATA
VariableData
Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin
Optode1	Optode2	Optode3	Optode4	Optode5	Optode6	Optode7	Optode8	Optode9	Optode10	Optode11	Optode12	Optode13	Optode14	Optode15	Optode16
0.033137	-0.156657	-0.128044	-0.180507	-0.52323	-0.319172	-0.575828	-0.28126	-0.550901	-0.215631	-0.42097	-0.185765	-0.761509	-0.591037	-0.661245	-0.835334
-0.039423	-0.389385	-0.465169	-0.309321	-0.558599	-0.360916	-0.600642	-0.310482	-0.595617	-0.24417	-0.456982	-0.287951	-0.610044	-0.428318	-0.457256	-0.72886
-0.144951	0.065479	-0.262664	-0.170724	-0.599373	-0.391119	-0.67069	-0.40938	-0.580059	-0.236741	-0.451164	-0.264048	-0.680872	-0.473061	-0.510342	-0.730959
0.273635	0.462816	-0.116527	-0.11782	-0.487825	-0.223893	-0.555326	-0.252025	-0.646746	-0.380402	-0.567091	-0.459329	-0.942851	-0.727409	-0.916388	-0.873857
0.206757	0.534005	-0.162658	-0.107025	-0.46596	-0.238986	-0.584477	-0.286907	-0.758998	-0.558021	-0.692349	-0.654008	-0.758497	-0.574742	-0.5097	-0.743394
-0.139608	0.30342	-0.366318	-0.232399	-0.634705	-0.406247	-0.658894	-0.420706	-0.579113	-0.30861	-0.527089	-0.404153	-0.65925	-0.49328	-0.402031	-0.697759
-0.449025	0.242783	-0.470682	-0.270543	-0.521794	-0.254096	-0.535918	-0.285927	-0.58643	-0.316048	-0.509948	-0.340284	-0.51363	-0.322077	0.011168	-0.546473
-0.552497	0.125515	-0.424592	-0.378455	-0.491758	-0.25003	-0.529517	-0.296313	-0.706957	-0.458152	-0.614536	-0.480666	-0.597411	-0.406342	-0.434939	-0.63403
0.133322	0.262203	-0.25623	-0.278135	-0.505416	-0.318679	-0.554411	-0.307665	-0.759745	-0.479065	-0.625932	-0.535126	-0.792033	-0.587655	-0.735102	-0.781201
-0.106124	0.153872	-0.383939	-0.316167	-0.405594	-0.215655	-0.480822	-0.230119	-0.737022	-0.493945	-0.605026	-0.464581	-0.647044	-0.48898	-0.520417	-0.73561
-0.006204	0.153872	-0.285625	-0.278135	-0.441183	-0.272784	-0.481973	-0.247188	-0.715084	-0.471632	-0.59743	-0.456899	-0.723647	-0.532966	-0.713751	-0.790722
0.199674	0.278133	-0.187285	-0.23324	-0.640279	-0.478318	-0.58173	-0.400372	-0.759745	-0.522272	-0.66392	-0.558213	-0.750526	-0.595177	-0.724422	-0.861876
-0.68861	-0.158536	-0.632201	-0.489007	-0.540894	-0.375705	-0.524363	-0.311609	-0.661393	-0.402754	-0.526966	-0.361587	-0.723647	-0.547987	-0.585539	-0.835607
-0.178083	-0.110808	-0.430775	-0.323016	-0.4426	-0.291952	-0.491876	-0.222589	-0.645118	-0.377148	-0.486877	-0.321495	-0.730361	-0.563025	-0.681792	-0.963043
-0.4531	-0.297537	-0.471338	-0.364768	-0.400233	-0.181244	-0.413665	-0.162787	-0.59288	-0.269073	-0.433491	-0.227361	-0.626847	-0.431944	-0.424295	-0.929518
-0.144951	-0.35297	-0.344339	-0.309321	-0.428972	-0.234884	-0.413665	-0.144727	-0.667939	-0.341142	-0.532716	-0.385452	-0.575693	-0.416869	-0.306152	-0.921695
-0.144951	-0.5999	-0.55754	-0.409557	-0.4426	-0.276796	-0.42677	-0.167594	-0.645118	-0.306525	-0.506008	-0.353892	-0.473397	-0.299552	-0.23208	-0.933627
0.052039	-0.370836	-0.275953	-0.261507	-0.434349	-0.272784	-0.448642	-0.148645	-0.651739	-0.336566	-0.521218	-0.408553	-0.351111	-0.182331	0.112147	-0.875459
-0.692312	-0.708938	-0.626721	-0.499493	-0.441183	-0.246002	-0.432346	-0.136299	-0.613406	-0.273312	-0.473499	-0.321495	-0.530639	-0.336684	-0.385152	-1.023684
-0.458488	-0.518696	-0.529483	-0.417017	-0.382249	-0.138575	-0.372656	-0.069584	-0.698084	-0.341142	-0.58041	-0.401606	-0.377791	-0.219893	-0.1061	-0.8972
-0.491108	-0.705349	-0.695695	-0.497052	-0.182387	-0.215185	-0.315346	-0.117342	-0.722393	-0.446786	-0.683029	-0.323157	-0.255463	-0.358971	0.004248	-0.892881
0.084574	-0.653167	-0.553659	-0.581679	0.127343	-0.1199	-0.17295	-0.096182	-0.79305	-0.69144	-0.732362	-0.357462	-0.123343	-0.37885	-0.071958	-0.906635
-0.831885	-1.272511	-1.160171	-0.935808	0.248511	-0.161964	-0.059655	-0.073314	-0.944707	-0.879382	-0.790863	-0.508582	-0.198276	-0.605434	-0.437578	-1.033213
-0.50482	-1.106546	-0.91394	-0.914339	0.31067	-0.211592	0.033044	-0.169426	-1.042541	-1.04966	-0.819018	-0.594652	-0.115566	-0.749803	-0.629632	-1.186437
-1.002986	-1.560727	-1.300178	-1.165975	0.408685	-0.157869	0.135175	-0.145672	-1.087279	-1.163034	-0.830203	-0.673757	0.016421	-0.602934	-0.332942	-1.072532
-0.600699	-1.21436	-0.902847	-1.005872	0.124277	-0.360531	-0.02774	-0.33217	-1.138278	-1.278006	-0.80573	-0.829461	-0.325686	-0.832423	-0.694995	-1.199981
-0.864171	-1.168232	-1.042539	-1.077932	0.152262	-0.150969	-0.155939	-0.229474	-1.145454	-1.339431	-0.847221	-0.999935	-0.630017	-0.882915	-1.170591	-1.250307
-0.465144	-0.715492	-0.78336	-0.893408	-0.374027	-0.580521	-0.525589	-0.588965	-1.02646	-1.211621	-0.739652	-0.891934	-0.316438	-0.459808	-0.395873	-0.992059
-1.557856	-1.132571	-1.438895	-1.210404	-0.534596	-0.475937	-0.683334	-0.59006	-1.634428	-2.067893	-1.557224	-2.158047	0.254131	0.10974	1.037413	-0.587542
-1.459121	-0.883688	-1.249723	-1.055962	-0.851943	-0.70483	-0.943774	-0.785494	-1.539089	-1.981529	-1.509576	-2.069585	0.059164	0.051357	0.809425	-0.625464
-1.783863	-0.736141	-1.316956	-1.05877	-1.040683	-0.78742	-1.022052	-0.8643	-1.155629	-1.413383	-1.079633	-1.395487	-0.40081	-0.290407	-0.102061	-0.875459
-0.823979	-0.175456	-0.911993	-0.770744	-0.854725	-0.557889	-0.991076	-0.667913	-0.873026	-1.033602	-0.805943	-0.918642	-0.583327	-0.401057	-0.215888	-0.95697
-0.552497	-0.087965	-0.684354	-0.620397	-0.871016	-0.569264	-0.971936	-0.652135	-0.754082	-0.879086	-0.743435	-0.803286	-0.473697	-0.307122	0.00829	-0.890758
0.373293	0.273641	-0.312343	-0.411031	-0.988499	-0.655974	-1.03533	-0.761504	-0.70955	-0.753333	-0.624229	-0.617392	-0.618817	-0.381421	-0.304452	-0.982638
-0.415631	-0.250402	-0.650391	-0.59951	-0.809639	-0.421683	-0.937156	-0.595605	-0.650497	-0.647929	-0.580773	-0.563465	-0.797835	-0.561365	-0.5807	-1.13414
0.232719	0.096612	-0.278532	-0.386824	-0.948605	-0.595631	-1.033237	-0.734618	-0.583142	-0.556819	-0.484033	-0.399533	-0.828328	-0.576192	-0.665471	-1.172885
-0.486145	-0.349442	-0.667992	-0.555069	-0.817907	-0.44825	-0.956266	-0.607726	-0.643247	-0.697577	-0.628174	-0.62581	-0.991109	-0.745344	-0.971481	-1.275261
-0.07273	0.015593	-0.472776	-0.461677	-0.928705	-0.572972	-0.988945	-0.658655	-0.62876	-0.606524	-0.569479	-0.548327	-0.893504	-0.6202	-0.79308	-1.194192
-0.006204	-0.028382	-0.461465	-0.43066	-0.928705	-0.569192	-1.002605	-0.662336	-0.485541	-0.375637	-0.381214	-0.290245	-1.080342	-0.838556	-1.211184	-1.352536
0.232719	0.333745	-0.196634	-0.330615	-0.804664	-0.436766	-0.938139	-0.522757	-0.55305	-0.524508	-0.531279	-0.53225	-0.84142	-0.546556	-0.655132	-1.120553
-0.415631	-0.135158	-0.540855	-0.461189	-0.831163	-0.451868	-0.934921	-0.526385	-0.551956	-0.441148	-0.474123	-0.493435	-1.054118	-0.779318	-1.159403	-1.288946
0.166541	0.284111	-0.223648	-0.319262	-0.925748	-0.493511	-0.945472	-0.552651	-0.51969	-0.422369	-0.485219	-0.522859	-0.817477	-0.539158	-0.611769	-1.058344
-0.278004	0.008878	-0.597869	-0.454	-0.710002	-0.291952	-0.869079	-0.394272	-0.38913	-0.247115	-0.32256	-0.279258	-0.850283	-0.568777	-0.663721	-1.048647
0.033137	0.338662	-0.274139	-0.263076	-0.904322	-0.463144	-0.933817	-0.529269	-0.350334	-0.247115	-0.337757	-0.318372	-0.771786	-0.509803	-0.545715	-0.988209
0.06662	0.265378	-0.210225	-0.269981	-0.62329	-0.265195	-0.861626	-0.387688	-0.388089	-0.29657	-0.41629	-0.461174	-0.920255	-0.620778	-0.66231	-1.050773
0.489422	0.338662	-0.010904	-0.147631	-0.760468	-0.421337	-0.936015	-0.492009	-0.317794	-0.276613	-0.381639	-0.388906	-0.847971	-0.546556	-0.503964	-0.986208
0.590139	0.284111	-0.093525	-0.207294	-0.725424	-0.41372	-0.94341	-0.51064	-0.233528	-0.162694	-0.243443	-0.216167	-0.89811	-0.608164	-0.674137	-1.042789
0.347688	0.223901	-0.063771	-0.214203	-0.683624	-0.341433	-0.910489	-0.505871	-0.188176	-0.133195	-0.22441	-0.185765	-0.861083	-0.600748	-0.653314	-1.089483
0.280275	0.012341	-0.15111	-0.25939	-0.620079	-0.299536	-0.886063	-0.447771	-0.272533	-0.254483	-0.304994	-0.327023	-0.995911	-0.672018	-1.001555	-1.167131
0.556656	0.242354	-0.029251	-0.211054	-0.710531	-0.398501	-0.914739	-0.505871	-0.196687	-0.125832	-0.220607	-0.185765	-0.736767	-0.475124	-0.495719	-1.04483
0.38126	0.018635	-0.093525	-0.266794	-0.65523	-0.341433	-0.942308	-0.518013	-0.365023	-0.324943	-0.372236	-0.437434	-0.858795	-0.595678	-0.655132	-1.147718
0.631968	0.210989	0.076655	-0.18659	-0.703799	-0.398501	-0.939156	-0.557452	-0.334584	-0.290276	-0.337757	-0.350868	-0.813081	-0.551405	-0.677834	-1.132344
-0.308368	-0.269784	-0.331672	-0.395013	-0.788753	-0.485912	-0.975198	-0.621908	-0.273624	-0.197571	-0.232413	-0.209735	-0.758641	-0.502231	-0.69842	-1.138128
-0.345059	-0.187828	-0.378671	-0.447113	-0.733603	-0.409944	-0.914739	-0.517136	-0.280975	-0.183828	-0.243806	-0.224918	-0.950031	-0.666866	-0.981804	-1.242475
-0.378721	-0.175456	-0.390136	-0.443551	-0.76861	-0.444148	-0.983704	-0.592919	-0.378754	-0.277736	-0.322264	-0.357462	-0.769521	-0.512159	-0.622143	-1.101144
0.07193	-0.000139	-0.297121	-0.346376	-0.795475	-0.421337	-0.948798	-0.574391	-0.354721	-0.293748	-0.300922	-0.33264	-0.83715	-0.512159	-0.706913	-1.081718
0.139523	-0.044094	-0.285625	-0.332554	-0.70527	-0.356625	-0.940275	-0.546171	-0.431336	-0.349411	-0.366204	-0.466955	-0.627395	-0.368906	-0.356192	-0.986386
0.421829	0.179546	-0.116527	-0.25939	-0.691852	-0.352951	-0.934904	-0.53015	-0.325171	-0.262944	-0.306766	-0.342233	-0.725834	-0.425772	-0.431231	-1.025365
0.173185	0.031304	-0.274139	-0.349991	-0.70527	-0.341433	-0.951922	-0.582488	-0.302031	-0.25667	-0.291261	-0.318372	-0.587761	-0.326758	-0.064384	-0.921972
-0.482509	-0.219077	-0.517135	-0.454	-0.621658	-0.303532	-0.906239	-0.51984	-0.332552	-0.270338	-0.295081	-0.349845	-0.738946	-0.425772	-0.451969	-1.025365
-0.178083	-0.02245	-0.344339	-0.388475	-0.648509	-0.311103	-0.886063	-0.531055	-0.316806	-0.278904	-0.306545	-0.388906	-0.75864	-0.433179	-0.462351	-1.050643
-0.111905	-0.006912	-0.321502	-0.374744	-0.620079	-0.25003	-0.854175	-0.495532	-0.300112	-0.216826	-0.248548	-0.300154	-0.967988	-0.686863	-0.907	-1.213556
0.133322	0.065479	-0.251199	-0.339877	-0.536229	-0.192941	-0.821214	-0.414065	-0.286258	-0.208202	-0.225545	-0.278203	-0.754343	-0.494942	-0.537162	-1.075903
0.199674	0.112149	-0.152953	-0.263671	-0.578171	-0.276796	-0.874375	-0.48337	-0.323271	-0.273929	-0.240875	-0.269549	-0.75864	-0.457864	-0.655132	-1.072106
0.166541	0.140741	-0.111798	-0.259907	-0.683624	-0.284372	-0.866936	-0.52364	-0.270476	-0.223064	-0.229376	-0.270577	-0.782647	-0.482523	-0.729363	-1.122533
-0.68861	-0.200272	-0.419331	-0.440231	-0.726895	-0.341804	-0.914739	-0.576866	-0.231465	-0.159629	-0.196449	-0.206342	-0.622934	-0.346698	-0.529088	-1.046866
-0.046072	0.070491	-0.269239	-0.32613	-0.702382	-0.292473	-0.935214	-0.508634	-0.190484	-0.318674	-0.412293	-0.29555	-0.725834	-0.708179	-0.721116	-1.285085
0.125807	-0.324733	-0.164387	-0.482169	-0.405594	-0.238409	-0.712786	-0.506768	-0.29538	-0.527831	-0.54043	-0.547406	-0.627282	-0.865979	-0.506067	-1.369469
0.232719	-0.429401	-0.040747	-0.626737	-0.14692	-0.166098	-0.503762	-0.489918	-0.194045	-0.487336	-0.475641	-0.468763	-0.730299	-0.890181	-0.601404	-1.309909
-0.4531	-0.604499	-0.337934	-0.753345	-0.123081	-0.215655	-0.421653	-0.518013	-0.071059	-0.40145	-0.451164	-0.391967	-0.585527	-0.776213	-0.332942	-1.198033
-0.552497	-0.479069	-0.267758	-0.787388	0.000498	-0.142668	-0.303987	-0.446846	-0.132954	-0.536378	-0.58632	-0.571952	-0.448863	-0.61783	-0.009176	-1.03902
-1.224868	-0.728269	-0.522702	-0.886178	0.06767	-0.119264	-0.214225	-0.386759	-0.132954	-0.537638	-0.63178	-0.601389	-0.501777	-0.610277	-0.006254	-1.021352
-0.755136	-0.627193	-0.407005	-0.821522	0.024529	-0.12689	-0.218645	-0.445069	-0.102841	-0.488566	-0.590093	-0.507658	-0.636682	-0.681667	-0.177291	-1.091574
-1.224868	-0.743826	-0.586143	-0.87958	0.140241	-0.003611	-0.127342	-0.320839	-0.103706	-0.432029	-0.575005	-0.500064	-0.428941	-0.500037	0.240009	-0.947192
-0.686254	-0.572583	-0.377887	-0.732906	0.070943	-0.110989	-0.180562	-0.370281	-0.102021	-0.429778	-0.58041	-0.489079	-0.533795	-0.597239	0.034319	-1.018137
-0.583494	-0.50217	-0.348746	-0.736516	0.188721	0.032135	-0.114463	-0.297734	-0.063524	-0.330936	-0.494792	-0.339377	-0.474169	-0.536306	0.156217	-0.989144
-0.446314	-0.415778	-0.319582	-0.678298	0.160834	-0.033654	-0.136736	-0.31993	-0.108802	-0.40564	-0.523165	-0.408553	-0.467426	-0.49652	0.068181	-0.918414
-0.240593	-0.340977	-0.167899	-0.623219	0.148381	-0.080181	-0.172455	-0.330081	-0.170697	-0.477546	-0.585993	-0.503058	-0.45395	-0.441642	0.222835	-0.859434
0.07193	-0.147444	-0.050613	-0.53693	-0.039488	-0.292881	-0.280182	-0.471214	-0.185825	-0.528492	-0.608837	-0.526201	-0.240021	-0.290386	0.580638	-0.745189
-0.308368	-0.356708	-0.290394	-0.606041	0.114657	-0.12688	-0.188692	-0.346233	-0.12393	-0.392142	-0.507857	-0.424678	-0.535019	-0.509578	0.003926	-0.911525
-0.10169	-0.226198	-0.120575	-0.58885	0.005163	-0.242616	-0.268193	-0.471214	-0.200972	-0.48505	-0.578375	-0.503058	-0.528243	-0.526723	0.014865	-0.919197
-0.446314	-0.463089	-0.261183	-0.644026	0.099239	-0.142038	-0.215822	-0.401246	-0.162463	-0.456606	-0.538342	-0.447793	-0.432074	-0.431944	0.224377	-0.857649
-0.169647	-0.257837	-0.143983	-0.61298	0.184918	-0.072354	-0.229546	-0.350092	-0.154892	-0.490973	-0.530714	-0.471585	-0.553992	-0.580138	-0.007735	-1.014667
-0.206842	-0.166719	-0.097211	-0.592174	0.017966	-0.234365	-0.313231	-0.526943	-0.279042	-0.610268	-0.646886	-0.644586	-0.331143	-0.326798	0.421687	-0.833417
0.455671	-0.063259	0.00882	-0.5058	-0.068803	-0.292212	-0.383334	-0.568301	-0.218053	-0.537168	-0.551721	-0.456899	-0.389166	-0.396553	0.478157	-0.882741
-0.274435	-0.289556	-0.132274	-0.599106	0.103419	-0.118694	-0.334402	-0.463901	-0.318598	-0.663556	-0.66392	-0.606155	-0.548857	-0.527644	0.145399	-0.967148
