fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 11:14:37 AM
VariableInfo
Name:	oxygraph9.hbt.Block1
Size:	2118 x 16
Type:	Numeric
Content:	Hemoglobin
Date:	12/18/2023 11:14:26 AM
Notes:	Total-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\Anette Johansson\Documents\COBI Studio Data\friska kontroller\2011K\MALIN_2011K_1_04260836.oxy
Labels:	HBT	DATA
VariableData
Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin
Optode1	Optode2	Optode3	Optode4	Optode5	Optode6	Optode7	Optode8	Optode9	Optode10	Optode11	Optode12	Optode13	Optode14	Optode15	Optode16
-0.381036	-0.38605	-0.452965	-0.573936	-1.359776	-0.680659	-1.032492	-0.893297	-1.093894	-0.536309	-0.817064	-0.71785	-0.932996	-0.999625	-0.678708	-0.526348
-0.623858	-0.601663	-0.669762	-0.678121	-1.372035	-0.678745	-1.031699	-0.891156	-1.077734	-0.5462	-0.788562	-0.736766	-0.808326	-0.87861	-0.493149	-0.386443
-0.804596	-0.27522	-0.624511	-0.659808	-1.297575	-0.62359	-1.037179	-0.864007	-1.040647	-0.559766	-0.761926	-0.711973	-0.74601	-0.796903	-0.396204	-0.270829
-0.442992	0.306278	-0.473997	-0.552211	-1.347506	-0.631256	-1.025387	-0.895428	-0.984363	-0.544937	-0.736343	-0.696957	-0.735118	-0.820052	-0.397877	-0.177486
-0.320863	0.572918	-0.389754	-0.503729	-1.310429	-0.603695	-1.016699	-0.882986	-0.975519	-0.590317	-0.730331	-0.681484	-0.671225	-0.750867	-0.210419	-0.080133
-0.440906	0.597359	-0.435224	-0.547181	-1.309821	-0.595963	-1.01428	-0.843323	-0.976821	-0.552384	-0.697779	-0.661266	-0.651378	-0.690056	-0.219612	-0.0512670000000001
-0.620893	0.576343	-0.521601	-0.545471	-1.285473	-0.576101	-0.971659	-0.833517	-0.963459	-0.538802	-0.691838	-0.572754	-0.513493	-0.581782	-0.029897	0.066507
-0.801679	0.396646	-0.605766	-0.687209	-1.186233	-0.508911	-0.89407	-0.763257	-1.005232	-0.588052	-0.686869	-0.521541	-0.629946	-0.708778	-0.346944	-0.055273
-0.563989	0.409365	-0.497391	-0.667313	-1.161293	-0.532704	-0.893262	-0.742528	-1.039424	-0.61146	-0.666058	-0.490346	-0.609982	-0.657492	-0.358271	-0.0671310000000001
-0.502051	0.475913	-0.541652	-0.665621	-1.111848	-0.496998	-0.848876	-0.678615	-1.015651	-0.584289	-0.667068	-0.482597	-0.472037	-0.557866	-0.19085	-0.038268
-0.684522	0.475913	-0.582581	-0.667313	-1.124183	-0.467359	-0.802014	-0.647443	-1.055713	-0.625034	-0.68094	-0.496624	-0.60087	-0.687507	-0.397262	-0.161692
-0.685156	0.380277	-0.623296	-0.681475	-1.222875	-0.538593	-0.798721	-0.675781	-1.039424	-0.594106	-0.670965	-0.448187	-0.551784	-0.643757	-0.377775	-0.199365
-0.921029	0.263546	-0.777494	-0.755262	-1.173589	-0.503029	-0.769364	-0.632633	-0.957617	-0.504119	-0.6235	-0.396771	-0.60087	-0.660077	-0.445373	-0.358866
-0.744092	0.176388	-0.732572	-0.653114	-1.198838	-0.506971	-0.739145	-0.58939	-0.856286	-0.365318	-0.584816	-0.332654	-0.588608	-0.632614	-0.455625	-0.570609
-0.983193	-0.128783	-0.796337	-0.712203	-1.198964	-0.485072	-0.702554	-0.543867	-0.886068	-0.376656	-0.607618	-0.366971	-0.508919	-0.521718	-0.366382	-0.687203
-0.804596	-0.284457	-0.752322	-0.678121	-1.223725	-0.536572	-0.702554	-0.525201	-0.880167	-0.369114	-0.650261	-0.421763	-0.535003	-0.549246	-0.3947	-0.812109
-0.804596	-0.471943	-0.776506	-0.697988	-1.198838	-0.534648	-0.678622	-0.483441	-0.856286	-0.308264	-0.624495	-0.410824	-0.586965	-0.622914	-0.529968	-0.955941
-1.164329	-0.763	-0.877204	-0.765436	-1.136663	-0.467359	-0.63868	-0.414642	-0.778583	-0.253404	-0.596718	-0.379578	-0.675188	-0.696142	-0.59345	-1.062165
-1.280377	-0.779643	-0.924582	-0.803442	-1.124183	-0.441577	-0.623518	-0.38543	-0.717187	-0.182425	-0.571912	-0.332654	-0.751882	-0.765864	-0.811309	-1.176511
-1.341266	-0.747262	-0.965072	-0.819333	-0.999589	-0.338249	-0.507505	-0.299877	-0.890615	-0.369114	-0.749188	-0.460771	-0.626465	-0.838703	-0.760027	-1.132675
-1.2817	-0.912366	-1.072028	-1.009532	-0.585246	-0.348251	-0.295994	-0.31643	-1.042367	-0.793449	-0.932449	-0.466952	-0.307029	-0.935327	-0.585264	-1.030349
-1.223743	-1.259354	-1.19483	-1.390021	-0.204784	-0.447341	-0.102023	-0.458691	-1.304086	-1.323771	-1.063875	-0.678212	-0.070063	-1.038804	-0.634475	-1.060358
-1.752354	-1.866811	-1.575992	-1.801995	0.051528	-0.44544	0.10207	-0.50045	-1.544966	-1.765121	-1.141136	-0.87917	0.066778	-1.181537	-0.715571	-1.104227
-1.98708	-2.292526	-1.757171	-2.038035	0.258113	-0.429652	0.30002	-0.583355	-1.688133	-1.932901	-1.126486	-0.92546	0.259226	-1.263618	-0.736438	-1.207746
-2.159734	-2.79898	-1.98731	-2.295826	0.400602	-0.378004	0.482567	-0.575123	-1.734775	-2.142244	-1.032513	-1.051428	0.156036	-1.324582	-0.906652	-1.306432
-1.811992	-2.584182	-1.777427	-2.197793	0.039225	-0.530739	0.18129	-0.800326	-1.705731	-2.228287	-0.89302	-1.170897	-0.11066	-1.388165	-0.986813	-1.237612
-1.693395	-2.057238	-1.656688	-2.0662	-0.408806	-0.540359	-0.269579	-0.93661	-1.692627	-2.234186	-0.890979	-1.327946	-0.771851	-1.707199	-1.579182	-1.418115
-1.695219	-1.771089	-1.591092	-1.945093	-0.937037	-0.722064	-0.722364	-1.146737	-1.588935	-2.11281	-0.829049	-1.257899	-1.008443	-1.655097	-1.533057	-1.453387
-2.213337	-1.753232	-1.866679	-1.954648	-1.569323	-1.06058	-1.191582	-1.498669	-1.501043	-1.958203	-0.872981	-1.252549	-0.89634	-1.29996	-0.947576	-1.200917
-2.03971	-1.339248	-1.679973	-1.713856	-1.752368	-1.010136	-1.421748	-1.494036	-1.357166	-1.707682	-0.814975	-1.088896	-0.949656	-1.193343	-0.915269	-1.076212
-1.800613	-0.856136	-1.557193	-1.51172	-1.861524	-0.859315	-1.541754	-1.400312	-1.224267	-1.447423	-0.724037	-0.871928	-1.123328	-1.200314	-1.141788	-1.062165
-1.039933	-0.222935	-1.220851	-1.177917	-1.898872	-0.763393	-1.642055	-1.356498	-1.158035	-1.363326	-0.744955	-0.806409	-1.058018	-0.998249	-0.933922	-0.913315
-0.801679	-0.124466	-1.092739	-1.052281	-2.020396	-0.81642	-1.7644	-1.435737	-1.180127	-1.404584	-0.822139	-0.882342	-1.191311	-1.030009	-0.968919	-0.97906
-0.624984	-0.135265	-1.086685	-0.96499	-2.032189	-0.731803	-1.82311	-1.437371	-1.196297	-1.392531	-0.854727	-0.883932	-1.326852	-1.103898	-1.144703	-1.086699
-0.681878	-0.214857	-1.154761	-0.956546	-2.056881	-0.716187	-1.871571	-1.488543	-1.238928	-1.403229	-0.897009	-0.914651	-1.332095	-1.053808	-1.195533	-1.139207
-0.745503	-0.332073	-1.148431	-0.941862	-2.105043	-0.694469	-1.914021	-1.536722	-1.231336	-1.387376	-0.888021	-0.874286	-1.342663	-1.026732	-1.224913	-1.177853
-0.922846	-0.419023	-1.258943	-0.970674	-2.117381	-0.741766	-1.923913	-1.516835	-1.252167	-1.373207	-0.92162	-0.936259	-1.441691	-1.133665	-1.398309	-1.263703
-0.563035	-0.054437	-1.068627	-0.805169	-2.141384	-0.735848	-1.907817	-1.474219	-1.278622	-1.357402	-0.917634	-0.942295	-1.422053	-1.154571	-1.358889	-1.248183
-0.684522	-0.103815	-1.089282	-0.79442	-2.141384	-0.668876	-1.839292	-1.366682	-1.213252	-1.230099	-0.852385	-0.869279	-1.344584	-1.10154	-1.324002	-1.177026
-0.745503	-0.114435	-1.022051	-0.774571	-2.141564	-0.688642	-1.826117	-1.318307	-1.220906	-1.202709	-0.838909	-0.903833	-1.318756	-1.080853	-1.243795	-1.109255
-0.681878	-0.038283	-0.944305	-0.671215	-2.093173	-0.661065	-1.788311	-1.210319	-1.157466	-1.110466	-0.794503	-0.90683	-1.392473	-1.209718	-1.418565	-1.129711
-0.624652	0.107026	-0.834368	-0.592207	-1.995968	-0.51085	-1.6816	-1.060852	-1.019725	-0.960879	-0.699737	-0.785152	-1.296225	-1.094364	-1.138796	-0.948449
-0.561621	0.217869	-0.84019	-0.549254	-1.935668	-0.506971	-1.645906	-0.993725	-0.863256	-0.788339	-0.585676	-0.684196	-1.236317	-1.040275	-1.043924	-0.856107
-0.381036	0.401255	-0.603555	-0.423152	-1.959572	-0.566302	-1.659123	-1.052748	-0.802007	-0.788339	-0.557925	-0.681213	-1.180549	-0.93918	-0.889682	-0.745891
-0.442182	0.272286	-0.581404	-0.410542	-1.789615	-0.481218	-1.615652	-0.954703	-0.799139	-0.821479	-0.601657	-0.82979	-1.17479	-0.945313	-0.86186	-0.742016
-0.076817	0.401255	-0.38732	-0.293	-1.691465	-0.419699	-1.567509	-0.917231	-0.662845	-0.734471	-0.515255	-0.689109	-1.306794	-1.080853	-0.965924	-0.85992
-0.260741	0.107026	-0.516003	-0.388816	-1.679319	-0.433608	-1.597817	-0.985058	-0.617613	-0.694989	-0.467359	-0.66233	-1.281426	-1.037813	-1.024903	-0.866807
-0.199076	0.086159	-0.430689	-0.3762	-1.679436	-0.491151	-1.614125	-1.044639	-0.63394	-0.748856	-0.502116	-0.71785	-1.282849	-1.051355	-1.06293	-0.946547
-0.075969	0.081409	-0.410844	-0.361813	-1.642809	-0.49312	-1.614892	-1.048957	-0.679185	-0.774883	-0.50524	-0.733799	-1.301059	-1.059943	-1.161011	-1.024199
-0.199595	-0.078131	-0.493727	-0.450083	-1.630298	-0.461402	-1.606362	-1.044639	-0.684888	-0.762304	-0.509062	-0.71785	-1.31093	-1.07217	-1.166081	-1.083011
-0.260384	-0.189677	-0.516003	-0.484372	-1.654991	-0.491151	-1.643615	-1.073302	-0.775183	-0.831311	-0.569874	-0.805073	-1.353223	-1.130017	-1.243795	-1.169131
0.04592	-0.020854	-0.407044	-0.426626	-1.642593	-0.461402	-1.605585	-1.001282	-0.764633	-0.77127	-0.557925	-0.758572	-1.436704	-1.210866	-1.386067	-1.251886
-0.132725	-0.050677	-0.498492	-0.453876	-1.715871	-0.524725	-1.627316	-1.035879	-0.743505	-0.755159	-0.562681	-0.742647	-1.403668	-1.161796	-1.348473	-1.241325
-0.439167	-0.329127	-0.689626	-0.561828	-1.740524	-0.514896	-1.606362	-1.024066	-0.730082	-0.71835	-0.541877	-0.71492	-1.384843	-1.138624	-1.379459	-1.214572
-0.377697	-0.222935	-0.66869	-0.500696	-1.752656	-0.52675	-1.611783	-1.038084	-0.683973	-0.670619	-0.511226	-0.678212	-1.251115	-1.00454	-1.119854	-1.089899
-0.074648	-0.025711	-0.561587	-0.406989	-1.703597	-0.419699	-1.544166	-0.970347	-0.595412	-0.579523	-0.437573	-0.586714	-1.260299	-1.00454	-1.149233	-1.070531
-0.198084	-0.075124	-0.582581	-0.432229	-1.716123	-0.463408	-1.559731	-1.021882	-0.654086	-0.663283	-0.468489	-0.683032	-1.24458	-0.987106	-1.050219	-1.024849
0.046619	0.036564	-0.473997	-0.361813	-1.740627	-0.544582	-1.613351	-1.101942	-0.649374	-0.697632	-0.464463	-0.706022	-1.264463	-1.022908	-1.098746	-1.063636
-0.259555	-0.083129	-0.603555	-0.46827	-1.716123	-0.491151	-1.582274	-1.107867	-0.625317	-0.647234	-0.417636	-0.681213	-1.11677	-0.924162	-0.836207	-0.977225
-0.559748	-0.272063	-0.712705	-0.549254	-1.716299	-0.560364	-1.621885	-1.171539	-0.635896	-0.684129	-0.410662	-0.692121	-1.240519	-1.022908	-1.060874	-1.063636
-0.744092	-0.373338	-0.752322	-0.601273	-1.667266	-0.546538	-1.614892	-1.151057	-0.598336	-0.606631	-0.389725	-0.689109	-1.204556	-1.009382	-1.041916	-1.072396
-0.864942	-0.401712	-0.794024	-0.62635	-1.642809	-0.508911	-1.585372	-1.114355	-0.496019	-0.472066	-0.269758	-0.508958	-1.219956	-1.032836	-1.150852	-1.103582
-0.563989	-0.27522	-0.645447	-0.554563	-1.642948	-0.538475	-1.601647	-1.110511	-0.587749	-0.549875	-0.311764	-0.617614	-1.145911	-0.96632	-1.090401	-1.081151
-0.685156	-0.360448	-0.685991	-0.558019	-1.642889	-0.534648	-1.592373	-1.085729	-0.520157	-0.491857	-0.283768	-0.564848	-1.204556	-1.034031	-1.243795	-1.142925
-0.624652	-0.282979	-0.622021	-0.496947	-1.679436	-0.520814	-1.562068	-1.063027	-0.55014	-0.522735	-0.304769	-0.63154	-1.227147	-1.058661	-1.291968	-1.160402
-0.921029	-0.434967	-0.75347	-0.574398	-1.752772	-0.63933	-1.606362	-1.118132	-0.48834	-0.452243	-0.251702	-0.542942	-1.186056	-1.027661	-1.289786	-1.134178
-0.985163	-0.543062	-0.751114	-0.579666	-1.568886	-0.655024	-1.437382	-1.192002	-0.296381	-0.781113	-0.534155	-0.722891	-1.264463	-1.615054	-1.490306	-1.517571
-0.925594	-0.847191	-0.665112	-0.767749	-1.111848	-0.455446	-1.004718	-1.093838	-0.104824	-1.013365	-0.710638	-0.876156	-1.0446	-1.669745	-1.147184	-1.471917
-0.745503	-0.783297	-0.472733	-0.906827	-0.962721	-0.512732	-0.762223	-1.124607	0.044965	-0.903584	-0.679948	-0.815931	-1.123271	-1.693929	-1.157724	-1.363633
-0.983193	-0.843983	-0.625665	-1.009862	-0.850064	-0.496998	-0.553118	-1.073302	0.022006	-0.937685	-0.761926	-0.888104	-0.987094	-1.559512	-0.906652	-1.186569
-0.801679	-0.565352	-0.476341	-0.947696	-0.762372	-0.405764	-0.407206	-0.999705	0.000553999999999999	-0.936561	-0.849789	-0.966913	-0.968427	-1.504619	-0.749123	-1.093621
-1.034709	-0.61796	-0.564699	-0.967117	-0.649147	-0.298448	-0.299384	-0.905318	0.000553999999999999	-0.873019	-0.840939	-0.845398	-0.871796	-1.311175	-0.566084	-0.960998
-0.799542	-0.549128	-0.499532	-0.885361	-0.64908	-0.284522	-0.291312	-0.900962	-0.054437	-0.839994	-0.842897	-0.812912	-0.75968	-1.111595	-0.442121	-0.832762
-1.034709	-0.589551	-0.586686	-0.846007	-0.623996	-0.208629	-0.230836	-0.821019	-0.120009	-0.820399	-0.87045	-0.82678	-0.600635	-0.887288	-0.066709	-0.654927
-0.557418	-0.394581	-0.414095	-0.645916	-0.497447	-0.012538	-0.133646	-0.628181	0.011275	-0.578218	-0.749188	-0.574435	-0.47667	-0.709783	0.118126	-0.525372
-0.375334	-0.268021	-0.328443	-0.572233	-0.39617	0.104089	-0.072084	-0.503669	0.008246	-0.511615	-0.719514	-0.505903	-0.382828	-0.541496	0.277587	-0.412079
-0.254261	-0.169763	-0.242576	-0.476918	-0.345243	0.148476	-0.03141	-0.411632	0.090928	-0.375193	-0.630441	-0.379578	-0.395142	-0.544099	0.247075	-0.374632
-0.256491	-0.178017	-0.240536	-0.442776	-0.243201	0.233443	0.033817	-0.289975	0.069477	-0.367536	-0.627433	-0.41233	-0.41975	-0.574193	0.347701	-0.315356
-0.074648	-0.14508	-0.174634	-0.39781	-0.216819	0.244253	0.093799	-0.238337	0.097105	-0.336254	-0.585719	-0.370068	-0.198901	-0.357714	0.660621	-0.132892
-0.132725	-0.14929	-0.15649	-0.406693	-0.10223	0.318723	0.15477	-0.15722	0.118556	-0.337937	-0.583819	-0.418637	-0.271706	-0.450131	0.555691	-0.164485
