fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 11:14:37 AM
VariableInfo
Name:	oxygraph9.oxy.Block1
Size:	2118 x 16
Type:	Numeric
Content:	Hemoglobin
Date:	12/18/2023 11:14:26 AM
Notes:	Oxygenation (difference Hb) concentration changes data saved by Oxygraph from file C:\Users\Anette Johansson\Documents\COBI Studio Data\friska kontroller\2011K\MALIN_2011K_1_04260836.oxy
Labels:	OXY	DATA
VariableData
Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin
Optode1	Optode2	Optode3	Optode4	Optode5	Optode6	Optode7	Optode8	Optode9	Optode10	Optode11	Optode12	Optode13	Optode14	Optode15	Optode16
-0.44731	-0.072736	-0.196877	-0.212922	-0.313316	-0.042315	0.119164	-0.330777	0.00790800000000003	-0.105047	0.024876	-0.34632	0.590022	0.182449	0.643782	1.14432
-0.545012	0.177107	0.260576	-0.059479	-0.254837	0.043087	0.169585	-0.270192	0.1135	-0.05786	0.125402	-0.160864	0.411762	-0.021974	0.421363	1.071277
-0.514694	-0.406178	-0.099183	-0.31836	-0.0988289999999999	0.158648	0.304201	-0.045247	0.119471	-0.086284	0.140402	-0.183877	0.615734	0.149219	0.62448	1.191089
-0.990262	-0.619354	-0.240943	-0.316571	-0.371856	-0.18347	0.085265	-0.391378	0.309129	0.215867	0.397839	0.221701	1.150584	0.634766	1.434899	1.570228
-0.734377	-0.495092	-0.064438	-0.289679	-0.378509	-0.125723	0.152255	-0.309172	0.542477	0.525725	0.654367	0.626532	0.845769	0.398617	0.808981	1.406655
-0.16169	-0.00948100000000002	0.297412	-0.082383	-0.0404110000000001	0.216531	0.303508	-0.001911	0.181405	0.064836	0.356399	0.14704	0.667122	0.296504	0.58445	1.344251
0.277157	0.090777	0.419763	-0.00438500000000003	-0.241885	-0.067909	0.100177	-0.261663	0.209401	0.093294	0.328058	0.107814	0.513767	0.062372	-0.052233	1.159453
0.303315	0.145616	0.243418	0.069701	-0.202717	-0.00885100000000005	0.164964	-0.170631	0.408682	0.328252	0.542203	0.439791	0.564876	0.103906	0.522934	1.212787
-0.830633	-0.115041	0.015069	-0.111043	-0.150461	0.104654	0.21556	-0.127198	0.480066	0.34667	0.585806	0.579906	0.974084	0.517818	1.111933	1.495271
