fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 11:29:16 AM
VariableInfo
Name:	oxygraph29.hbt.Block1
Size:	1838 x 16
Type:	Numeric
Content:	Hemoglobin
Date:	12/18/2023 11:29:05 AM
Notes:	Total-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\Anette Johansson\Documents\COBI Studio Data\friska kontroller\2034K\ANETTE_2034K_1_12130816.oxy
Labels:	HBT	DATA
VariableData
Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin
Optode1	Optode2	Optode3	Optode4	Optode5	Optode6	Optode7	Optode8	Optode9	Optode10	Optode11	Optode12	Optode13	Optode14	Optode15	Optode16
-0.512827	-0.50808	-0.107378	-0.268083	-0.653434	-0.305412	-0.971646	-1.977613	-0.533265	-1.572857	-0.262932	0.052655	-0.879878	-0.409795	-1.223369	-0.995179
-0.351689	-0.334026	0.069634	-0.144343	-0.886618	-0.509803	-1.180021	-2.288445	-0.394094	-1.483285	-0.00153199999999998	0.219299	-1.202769	-0.700748	-1.561036	-1.392209
-0.20828	-0.092584	0.271798	-0.014739	-0.863939	-0.476243	-1.233139	-2.4367	-0.453831	-1.591617	-0.142301	0.195681	-1.49882	-0.93332	-1.785711	-1.667834
-0.374155	-0.352014	0.021986	-0.204563	-0.7325	-0.417231	-1.180947	-2.46739	-0.714473	-1.872717	-0.489281	-0.083284	-1.086485	-0.684904	-1.582862	-1.431072
-0.960993	-0.535572	0.147338	-0.715436	-0.991428	-0.145332	-1.180947	-2.308203	-1.508477	-2.776253	-1.201882	-0.012765	-0.900543	-0.274846	-1.866431	-1.303634
-1.219907	-0.064069	0.755999	-0.89164	-1.778711	-0.045413	-1.515795	-2.270969	-2.149912	-3.48555	-1.464171	0.397551	-1.517953	-0.480464	-2.646769	-1.813497
-1.713743	-0.277382	0.8331	-1.230981	-2.039188	0.221753	-1.608405	-2.121988	-2.805656	-4.082521	-1.977407	0.628435	-2.86931	-1.327974	-3.806865	-2.643292
-2.337527	-0.852911	0.862509	-1.871618	-2.72253	0.409054	-2.077397	-2.18905	-3.200338	-4.352039	-1.849921	1.307715	-3.323814	-1.143805	-4.283615	-2.901186
-2.758441	-0.940108	1.094082	-1.763419	-3.403098	0.709601	-2.346925	-2.122473	-3.453953	-4.572013	-1.6911	1.877882	-2.858592	-0.282968	-4.427953	-3.075297
-2.778056	-0.667357	1.461268	-1.305937	-3.924034	0.86073	-2.430401	-2.015548	-3.400786	-4.509373	-1.299995	2.463431	-2.924325	0.011761	-4.96376	-3.692587
-3.136233	-0.805845	1.403053	-1.078044	-4.191146	1.187289	-2.347488	-1.753303	-3.421106	-4.369745	-1.181363	2.926353	-2.886068	0.364754	-5.214133	-4.017747
-3.269841	-0.80182	1.35312	-0.925401	-4.318413	1.49431	-2.164708	-1.396557	-3.360741	-4.075549	-1.07411	3.30486	-2.638015	0.852153	-5.226946	-3.993545
-3.402081	-0.563938	1.543748	-0.718485	-4.492482	1.611169	-2.062368	-1.130473	-3.384458	-3.797091	-1.097764	3.443109	-2.427529	1.296963	-5.141402	-4.032955
-3.401423	-0.25539	1.617706	-0.548971	-4.492482	1.940914	-1.801975	-0.726498	-3.467706	-3.623763	-1.463984	3.388351	-1.905503	1.949666	-4.926564	-3.704968
-3.251287	0.233173	1.855326	-0.275168	-4.374937	2.350023	-1.453833	-0.215659	-3.136869	-2.955054	-0.967731	3.883131	-2.375699	1.755978	-5.137898	-4.016643
-3.12045	0.406667	1.780877	-0.169965	-4.066098	2.797864	-1.132578	0.234931	-2.901762	-2.404946	-0.770587	4.187051	-2.083262	2.093651	-4.853125	-3.625449
-2.797219	1.089928	2.120907	0.207547	-4.265906	2.706358	-1.24899	0.256317	-2.67153	-1.992867	-0.532391	4.47712	-1.50703	2.701928	-4.309277	-2.874952
-2.490865	1.552375	2.332673	0.605761	-3.833774	3.266183	-0.867322	0.763798	-2.373658	-1.575498	-0.229135	4.847856	-1.67451	2.701928	-4.241612	-2.762492
-2.047117	2.101538	2.769816	1.071761	-3.403098	3.879404	-0.563035	1.206228	-2.126448	-1.248521	-0.011488	5.109978	-1.939415	2.618765	-4.241716	-2.684061
-1.752793	2.326978	2.928292	1.390959	-3.342715	3.989811	-0.54855	1.279434	-1.929426	-1.109858	0.225974	5.311436	-1.824169	2.815604	-3.98186	-2.320374
-1.47133	2.618733	3.172358	1.717726	-3.201808	4.158369	-0.517282	1.276273	-1.889403	-1.402445	0.187958	5.268434	-1.437707	3.258353	-3.581927	-1.712075
