fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 11:37:17 AM
VariableInfo
Name:	oxygraph42.hbo.Block1
Size:	1939 x 16
Type:	Numeric
Content:	Hemoglobin
Date:	12/18/2023 11:37:06 AM
Notes:	Oxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\Anette Johansson\Documents\COBI Studio Data\friska kontroller\2047K\ANETTE_2047K_3_05270841.oxy
Labels:	HBO	DATA
VariableData
Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin
Optode1	Optode2	Optode3	Optode4	Optode5	Optode6	Optode7	Optode8	Optode9	Optode10	Optode11	Optode12	Optode13	Optode14	Optode15	Optode16
-0.224048	-0.582212	-0.564313	-0.401124	-0.199896	-0.315764	-0.148802	-0.22095	0.010208	-0.157866	0.12795	-0.087867	-0.310581	-0.451957	-0.360028	-0.742848
-0.267922	-0.573919	-0.56398	-0.406775	-0.28502	-0.51588	-0.245845	-0.361592	0.036025	0.047929	0.222041	0.013128	-0.091889	-0.262463	-0.156505	-0.339955
-0.141617	-0.309506	-0.391824	-0.263899	-0.191676	-0.300974	-0.197243	-0.256644	-0.159916	-0.376034	-0.014083	-0.329993	-0.204159	-0.341713	-0.261681	-0.51978
-0.20913	-0.472458	-0.48656	-0.341428	-0.142336	-0.135887	-0.100471	-0.098784	0.094763	0.269121	0.30477	0.332609	0.095427	0.080378	-0.026239	-0.034964
-0.111268	-0.122923	-0.254909	-0.180813	-0.109219	-0.139956	-0.098309	-0.114	0.048952	0.195238	0.275174	0.366634	0.186208	0.211181	-0.014358	0.056082
-0.104525	-0.337338	-0.322728	-0.209986	0.003985	-0.007468	-0.065704	-0.033674	0.003574	0.031618	0.163069	0.195584	0.085292	0.098233	-0.062644	-0.091454
-0.115106	-0.249214	-0.229317	-0.14477	-0.006828	0.05435	-0.081923	-0.131547	0.199421	0.479808	0.405351	0.742776	0.067052	0.11658	-0.041616	-0.124981
-0.066869	-0.228473	-0.24505	-0.132004	0.166971	0.410049	0.159887	0.320093	0.159844	0.391145	0.349239	0.618029	-0.019245	-0.015383	-0.119106	-0.268171
0.004216	-0.088987	-0.175201	-0.005335	0.214606	0.540222	0.209222	0.38802	0.186308	0.393132	0.352152	0.607189	0.158691	0.264933	0.021351	0.009314
-0.033472	-0.15209	-0.15732	0.013156	0.221786	0.489797	0.218299	0.419315	0.126772	0.161211	0.206612	0.446074	0.098153	0.272442	-0.031695	-0.099158
-0.029275	-0.061024	-0.062424	0.121369	-0.069459	0.537833	0.270407	0.048139	0.146803	0.520935	0.116525	0.380379	-0.052873	0.09574	-0.161143	-0.277806
0.038105	-0.11381	0.076275	0.319371	-0.547245	0.621827	0.046478	-1.529215	-1.063494	-0.422352	-0.719039	-0.737398	0.330219	0.984786	0.128523	0.398829
-0.114016	-0.934358	-0.262798	0.089722	-0.578298	0.518098	-0.08376	-1.440171	-1.712895	-0.723284	-1.098516	-1.319395	0.144291	0.959787	0.048652	0.248596
0.121862	-0.346564	-0.000296	0.298052	-0.470474	0.477412	-0.212735	-1.24391	-1.748055	-1.158799	-1.075191	-1.505608	-0.414308	0.159089	-0.353632	-0.661073
-0.169329	-1.096856	-0.453849	-0.150634	-0.301783	0.608182	-0.200377	-0.831614	-1.305518	-0.891642	-0.560523	-0.880801	-0.293592	0.280701	-0.223424	-0.435071
0.070361	-0.373843	-0.089576	-0.002737	-0.236314	0.438306	-0.254385	-0.716362	-1.367164	-1.316292	-0.675335	-1.242456	0.115824	0.678893	0.020758	0.206962
0.071242	-0.63862	-0.249914	-0.1156	-0.267651	0.240898	-0.341805	-0.796377	-0.870337	-0.5223	-0.143789	-0.434985	-0.248266	0.035996	-0.25948	-0.365423
0.030576	-0.50463	-0.242577	-0.205598	-0.218435	0.093189	-0.334275	-0.639667	-0.888129	-0.735175	-0.172017	-0.480299	-0.199517	0.088146	-0.208451	-0.290595
-0.039953	-0.745594	-0.428935	-0.371239	-0.243828	-0.10627	-0.39824	-0.628882	-1.064414	-1.372154	-0.503238	-1.078758	-0.454574	-0.401737	-0.391024	-0.618597
0.157379	-0.255095	-0.148007	-0.122398	-0.130266	0.083979	-0.266742	-0.3849	-0.839895	-1.021122	-0.287528	-0.826294	0.041201	0.256737	-0.040787	0.165458
0.071764	-0.469893	-0.283427	-0.264516	-0.309951	-0.370805	-0.521591	-0.825772	-0.558793	-0.507889	0.009126	-0.187842	-0.44295	-0.357114	-0.442663	-0.647448
0.139119	-0.264465	-0.163352	-0.139755	-0.026257	0.173735	-0.226567	-0.105098	-0.885084	-1.238974	-0.392453	-0.865334	-0.187257	0.004579	-0.292239	-0.185375
0.259515	-0.243708	-0.066368	-0.019243	-0.083929	0.027359	-0.369561	-0.359735	-0.434289	-0.20569	0.131234	0.10968	-0.066099	0.177259	-0.198968	-0.026229
0.312477	-0.129467	0.021188	0.041563	0.039457	0.343927	-0.260156	-0.124076	-0.47746	-0.409051	0.014528	-0.028919	-0.089471	0.272833	-0.233901	-0.021553
0.372869	0.103737	0.176524	0.186237	0.288752	0.814898	0.044822	0.562183	-0.477444	-0.456385	-0.035711	-0.054871	0.109137	0.611108	-0.104823	0.238278
0.499162	0.296061	0.41466	0.449601	0.310402	0.791537	0.000422	0.455435	-0.528153	-0.469921	-0.034112	0.04203	0.050484	0.527304	-0.10795	0.17235
0.48031	0.113886	0.301363	0.407891	0.425962	0.986045	0.040095	0.529917	-0.118971	0.400119	0.37573	0.838389	0.544029	1.247385	0.244964	0.906922
0.518741	0.170408	0.389068	0.525284	0.521295	1.108226	0.131498	0.731126	-0.156294	0.201903	0.304688	0.689498	0.308856	1.027093	0.117936	0.534646
0.682275	0.538724	0.700597	0.794282	0.531175	1.107099	0.11212	0.661103	-0.334658	-0.266769	0.035493	0.236137	0.37291	1.066601	0.190927	0.551599
0.644555	0.433988	0.659469	0.789679	0.734095	1.512353	0.337382	1.110381	0.03608	0.428453	0.44162	0.96544	0.533296	1.305052	0.383221	0.860291
0.602281	0.219813	0.536076	0.709896	0.750826	1.461168	0.331629	1.109561	-0.040908	0.174964	0.340058	0.630184	0.451649	1.130958	0.357998	0.740315
0.683347	0.214586	0.541163	0.738279	0.73711	1.3754	0.317285	1.001882	0.030005	0.258957	0.429545	0.868494	0.578697	1.272047	0.457149	0.903009
0.712886	0.538724	0.692795	0.82678	0.809638	1.559859	0.38906	1.19668	-0.0729	-0.119308	0.273742	0.490148	0.281929	0.791387	0.290675	0.272388
0.729371	0.368945	0.679075	0.823191	0.932149	1.821063	0.544325	1.508603	0.068666	0.235478	0.495561	0.814796	0.451649	0.912305	0.410756	0.48115
0.862861	0.737735	0.920591	1.068219	0.868499	1.611189	0.432194	1.229699	0.1655	0.316646	0.540599	0.814796	0.694601	1.175593	0.622559	0.835139
0.714023	0.283723	0.669269	0.871764	0.819282	1.465008	0.404316	1.217574	0.345701	0.73389	0.771531	1.274366	0.59982	1.088367	0.626582	0.679404
0.855891	0.576252	0.78329	0.925906	0.826465	1.460273	0.444333	1.255855	0.242452	0.417347	0.672608	0.992387	0.470492	0.830654	0.517962	0.515581
0.734033	0.050741	0.541163	0.772638	0.704332	1.231459	0.318341	0.976839	0.114052	0.198326	0.525624	0.683244	0.685984	1.019677	0.676722	0.740178
0.823711	0.538724	0.726014	0.877237	0.736513	1.235875	0.358393	1.122213	0.242452	0.373713	0.621657	0.903863	0.589372	0.992543	0.647535	0.679965
0.698682	0.176969	0.582781	0.751614	0.730901	1.223025	0.366718	1.115655	0.03608	-0.025498	0.393727	0.411524	0.415208	0.621742	0.484639	0.378055
0.75885	0.462396	0.66732	0.860509	0.599547	1.017036	0.219463	0.826803	0.233682	0.39397	0.602748	0.811662	0.474999	0.718444	0.559842	0.499063
0.537625	-0.065095	0.35396	0.603899	0.603067	1.06387	0.274546	0.951002	0.074636	0.128248	0.438614	0.589825	0.487802	0.837728	0.510262	0.483361
0.628258	0.320584	0.500899	0.737243	0.63172	1.130654	0.287894	1.045237	-0.003139	-0.166641	0.361124	0.380379	0.341508	0.591447	0.376949	0.277599
0.488248	-0.175351	0.294558	0.587516	0.563514	1.109074	0.233709	0.926689	-0.168943	-0.485221	0.157579	0.056484	0.318633	0.583592	0.381279	0.311669
0.517998	0.179333	0.464087	0.700347	0.542359	1.097221	0.206323	0.862617	0.157429	0.228098	0.516316	0.731817	0.447164	0.784117	0.426736	0.439379
0.570847	0.4255	0.557881	0.796581	0.547277	1.084791	0.167549	0.789616	0.119492	0.091478	0.45958	0.658979	0.442215	0.753209	0.418751	0.465917
0.537625	0.239404	0.465756	0.787578	0.604463	1.168447	0.245173	0.909422	0.252965	0.406224	0.611333	0.781273	0.318163	0.595724	0.320159	0.26325
0.48031	0.251736	0.413107	0.706994	0.634154	1.315733	0.238553	0.892118	0.158111	0.165056	0.516525	0.68146	0.609933	1.049145	0.531292	0.738457
0.537625	0.352808	0.432227	0.762916	0.73567	1.567855	0.410126	1.256543	0.266174	0.351006	0.629827	0.891998	0.728533	1.260416	0.655686	1.00153
0.628258	0.6141	0.643681	0.925337	0.618096	1.32857	0.273648	0.859529	0.305879	0.523021	0.741411	1.037923	0.703165	1.251964	0.630877	0.876817
0.461442	0.14762	0.299997	0.657824	0.71406	1.557426	0.372702	1.059931	0.52403	0.849069	0.938966	1.394021	0.748521	1.25915	0.651691	0.858852
0.518741	0.340816	0.421079	0.700347	0.589659	1.261167	0.224826	0.757656	0.377367	0.56615	0.774356	0.915166	0.714353	1.1321	0.597629	0.85695
0.443046	-0.192939	0.24072	0.580163	0.585909	1.192926	0.215692	0.677293	0.474624	0.634248	0.837439	0.922569	0.664989	0.982713	0.605932	0.730245
0.461994	0.01367	0.248843	0.60303	0.598385	1.290772	0.282027	0.810774	0.345701	0.325631	0.720647	0.693476	0.612177	0.930826	0.522247	0.568519
0.435621	-0.106094	0.16368	0.500741	0.619479	1.32857	0.387017	0.986041	0.300679	0.201903	0.657564	0.506774	0.583011	0.81388	0.464258	0.457972
0.557272	0.344904	0.403555	0.718278	0.598385	1.223162	0.310662	0.863972	0.1655	-0.076155	0.489558	0.151696	0.601364	0.840749	0.459966	0.526079
0.39359	-0.011506	0.239464	0.541725	0.552332	1.101481	0.272659	0.74745	0.357947	0.258388	0.681247	0.549405	0.70174	0.982713	0.505589	0.636954
0.424082	0.264017	0.351035	0.620072	0.508799	1.00044	0.218299	0.681469	0.261008	0.038332	0.594092	0.337761	0.446668	0.668529	0.383994	0.388818
0.533997	0.458128	0.435275	0.727362	0.502637	1.030072	0.211764	0.635292	0.286512	0.16772	0.66266	0.410486	0.46502	0.695418	0.358528	0.465917
0.503491	0.600165	0.435275	0.708437	0.429555	0.850943	0.212896	0.62217	0.395566	0.39397	0.778902	0.701556	0.523669	0.848165	0.409389	0.551635
0.218717	-0.08829	0.005656	0.352654	0.553517	1.130852	0.388448	1.118453	0.227576	-0.001464	0.575092	0.259236	0.396135	0.611108	0.350718	0.381249
0.48031	0.702363	0.365402	0.652852	0.385014	0.876132	0.220535	0.648466	0.394244	0.460859	0.7954	0.686147	0.259117	0.443122	0.237657	0.193746
0.290842	0.195898	0.048711	0.38216	0.463149	0.960423	0.275355	0.886634	-0.021677	-0.455582	0.27168	-0.145973	0.68336	1.112227	0.513666	0.875063
0.294605	0.319346	0.091745	0.412277	0.312305	0.723404	0.12885	0.576222	0.303657	0.314755	0.705683	0.539752	0.080573	0.262009	0.115317	-0.012483
0.241515	0.053521	-0.063877	0.285387	0.268756	0.721851	0.131498	0.484204	0.233682	0.077657	0.590004	0.310816	0.190262	0.39565	0.16515	0.113924
0.336173	0.438098	0.089588	0.3922	0.397621	0.972757	0.314216	0.87777	-0.149753	-0.751586	0.167728	-0.324139	0.465564	0.849608	0.38301	0.59412
0.207207	0.030236	-0.097241	0.262086	0.365302	0.868406	0.238553	0.70432	0.04238	-0.368738	0.355146	-0.013177	0.30029	0.583592	0.295205	0.361933
0.603158	0.884593	0.343029	0.630414	0.450725	1.030868	0.320962	0.795775	-0.105124	-0.681941	0.220293	-0.268926	0.713058	1.110556	0.559448	0.980111
0.470299	0.51114	0.162601	0.431641	0.398672	0.902062	0.256557	0.684396	0.101026	-0.339564	0.423645	0.135144	0.6175	1.004748	0.567571	0.800608
0.600949	0.725494	0.277009	0.572785	0.338863	0.705603	0.166393	0.428329	0.269536	0.027198	0.600737	0.372601	0.572373	0.912305	0.512363	0.714069
0.628636	0.431937	0.183274	0.538312	0.496182	1.038018	0.346976	0.757656	0.41328	0.279454	0.760868	0.612093	0.535355	0.830654	0.474464	0.601224
0.871664	1.109993	0.574822	0.794282	0.534844	1.030072	0.383232	0.797147	0.544474	0.421824	0.864082	0.792062	1.241749	1.821744	1.004673	1.669014
0.730126	0.477	0.31583	0.576724	0.486971	0.90642	0.320023	0.631049	0.805322	0.946921	1.144836	1.222854	0.610035	0.861734	0.545134	0.634473
0.95898	1.027921	0.576532	0.807697	0.700854	1.311612	0.584323	1.098475	0.441611	0.044217	0.785956	0.459472	0.953233	1.275716	0.798345	1.080621
0.913263	0.850565	0.447689	0.655711	0.653352	1.168597	0.537406	0.962501	0.559084	0.296265	0.891609	0.63438	1.15945	1.642121	0.967646	1.433612
0.944502	0.821415	0.47495	0.687011	0.498206	0.840652	0.33439	0.531998	0.519634	0.228607	0.876411	0.54251	1.196302	1.560144	0.988334	1.411475
0.850865	0.605488	0.299324	0.508633	0.620844	1.088653	0.464778	0.760941	0.836959	0.869267	1.254721	1.178362	1.142574	1.47705	0.975956	1.316798
0.939772	0.916422	0.43	0.611318	0.775805	1.361117	0.667416	1.2164	0.589978	0.262487	0.992761	0.575715	1.219037	1.669924	1.026296	1.540615
0.800434	0.572678	0.333475	0.507945	0.617115	1.026342	0.494254	0.833078	0.597387	0.367148	1.03284	0.567578	0.96767	1.242936	0.815119	1.028241
0.799654	0.638824	0.348589	0.469028	0.605873	0.98461	0.461747	0.826803	0.842868	0.874962	1.275112	1.032099	1.040695	1.354073	0.899829	1.211267
0.663816	0.494841	0.2349	0.30392	0.603342	0.968765	0.495344	0.883698	0.367873	-0.22993	0.691135	-0.070404	0.951529	1.096034	0.798345	1.009613
0.632888	0.326202	0.156453	0.249423	0.38434	0.526314	0.226022	0.330697	0.549388	0.319173	0.952786	0.346145	0.627972	0.607056	0.5071	0.44471
0.524849	0.144548	0.025559	0.085762	0.45797	0.729973	0.356201	0.670766	0.430796	0.088129	0.84853	0.212936	0.899881	1.022093	0.701438	0.92212
0.54367	0.319346	0.110209	0.120535	0.302074	0.378381	0.171369	0.299442	0.236889	-0.274158	0.645426	-0.111582	0.846732	0.965134	0.63883	0.903009
0.482212	0.063475	0.005656	0.060203	0.283981	0.296553	0.069501	0.159841	0.468573	0.240922	0.896453	0.43453	0.76422	0.85555	0.546523	0.78306
0.363434	-0.255786	-0.149403	-0.083958	0.180688	0.132193	-0.042264	-0.084382	0.28205	-0.018606	0.768697	0.281778	0.438419	0.476076	0.289331	0.213111
0.374914	-0.149578	-0.029967	0.011314	0.268756	0.333229	0.040095	0.162893	0.500128	0.400119	0.947087	0.652378	0.520819	0.576664	0.290716	0.370945
0.512928	0.214586	0.110209	0.144696	0.32773	0.528169	0.135347	0.252501	0.107682	-0.448862	0.462557	-0.125496	0.396923	0.422438	0.255945	0.222478
0.405611	-0.114311	-0.087618	0.012901	0.439223	0.724685	0.230944	0.513821	0.42466	0.245367	0.84414	0.621951	0.401516	0.484011	0.243819	0.231793
0.605233	0.527817	0.285147	0.290007	0.435657	0.717102	0.242345	0.501003	0.237452	-0.163848	0.573806	0.165277	0.741439	0.941059	0.513075	0.714297
0.54404	0.192778	0.182251	0.267412	0.440217	0.764773	0.244127	0.44761	0.218392	-0.141576	0.597984	0.18646	0.844109	1.088724	0.609212	0.878103
0.597787	0.425873	0.302688	0.36356	0.618338	1.089145	0.39456	0.721038	0.348981	0.124136	0.718923	0.455201	0.836922	1.160847	0.621165	0.870344
0.582779	0.097579	0.131529	0.292804	0.619614	1.072359	0.41189	0.737715	0.453409	0.27267	0.809897	0.581522	0.670971	0.853888	0.5061	0.599673
0.784119	0.618062	0.499315	0.610472	0.759655	1.403143	0.595409	1.098475	0.402204	0.207705	0.813434	0.564581	0.679975	0.834455	0.531858	0.574064
0.679833	0.31021	0.28167	0.434291	0.68216	1.256742	0.501121	0.893787	0.603535	0.454499	0.9817	0.876981	0.577823	0.639042	0.455609	0.338141
0.799654	0.76936	0.56852	0.646465	0.714579	1.428135	0.631248	1.095545	0.473948	0.205187	0.873547	0.646803	0.739431	0.838406	0.574373	0.635856
0.81152	0.548336	0.499315	0.65397	0.786175	1.542807	0.714196	1.309452	0.51425	0.303106	0.943945	0.726488	0.656841	0.655198	0.535333	0.442136
0.876386	0.90297	0.661386	0.773093	0.590752	1.139173	0.457172	0.747681	0.664064	0.559865	1.118772	1.088634	0.902955	1.013825	0.75571	0.87922
0.80699	0.728585	0.497783	0.665373	0.55589	1.068122	0.45797	0.737715	0.46133	0.124136	0.937241	0.734639	0.869906	0.947232	0.704956	0.7835
0.884698	0.901575	0.586226	0.770634	0.592123	1.176963	0.508632	0.820451	0.212529	-0.444593	0.601034	0.175126	0.87556	0.916356	0.670517	0.713197
