fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 11:37:17 AM
VariableInfo
Name:	oxygraph42.hbr.Block1
Size:	1939 x 16
Type:	Numeric
Content:	Hemoglobin
Date:	12/18/2023 11:37:06 AM
Notes:	Deoxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\Anette Johansson\Documents\COBI Studio Data\friska kontroller\2047K\ANETTE_2047K_3_05270841.oxy
Labels:	HBR	DATA
VariableData
Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin
Optode1	Optode2	Optode3	Optode4	Optode5	Optode6	Optode7	Optode8	Optode9	Optode10	Optode11	Optode12	Optode13	Optode14	Optode15	Optode16
0.320943	0.748388	0.533566	0.345873	0.194013	0.111729	0.197755	0.285118	-0.159412	-0.332711	-0.300545	-0.451707	0.431689	0.426244	0.464379	0.618993
0.24793	0.40963	0.350802	0.200541	0.272637	0.300356	0.296364	0.439841	-0.106955	-0.303153	-0.271295	-0.328156	0.246156	0.197464	0.268426	0.275197
0.24747	0.363784	0.289887	0.191997	0.14269	0.018477	0.172135	0.158452	0.055037	0.001175	-0.083177	-0.046493	0.205058	0.104856	0.256228	0.238781
0.315664	0.613166	0.414573	0.282572	0.093004	-0.069212	0.073883	0.067885	-0.127738	-0.381419	-0.25879	-0.361195	-0.061854	-0.204507	0.049791	-0.230642
0.148343	0.012769	0.060051	0.036766	0.14578	0.078927	0.137128	0.212382	-0.080678	-0.355277	-0.248318	-0.413268	-0.093975	-0.25079	0.070167	-0.213445
0.278651	0.373633	0.265438	0.236063	0.154198	0.209171	0.254082	0.394015	-0.126287	-0.450797	-0.250429	-0.432628	0.210459	0.231566	0.259955	0.287694
0.17177	0.010254	0.020885	0.06589	0.222795	0.306045	0.34583	0.60498	-0.195585	-0.660325	-0.377869	-0.705889	0.216913	0.265662	0.227774	0.299557
0.221021	0.239771	0.207634	0.229551	0.048053	0.002265	0.109936	0.128616	0.003849	-0.218643	-0.16979	-0.301445	0.220452	0.312355	0.230475	0.40058
0.218012	0.190415	0.24359	0.248075	0.079673	0.045015	0.135344	0.209678	-0.12928	-0.527675	-0.296453	-0.498386	0.076668	0.132055	0.131409	0.252039
