fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 12:00:36 PM
VariableInfo
Name:	oxygraph4.hbo.Block1
Size:	2036 x 16
Type:	Numeric
Content:	Hemoglobin
Date:	12/18/2023 12:00:25 PM
Notes:	Oxygenated-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\Anette Johansson\Documents\COBI Studio Data\LRV patienter\0003p_group1_R\FILIPPA_0003p_1_01181508.oxy
Labels:	HBO	DATA
VariableData
Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin
Optode1	Optode2	Optode3	Optode4	Optode5	Optode6	Optode7	Optode8	Optode9	Optode10	Optode11	Optode12	Optode13	Optode14	Optode15	Optode16
0.206852	0.0085	-0.394525	-0.158975	-0.42741	-0.441878	-0.410343	-0.638696	-0.507909	-0.511631	-0.506633	-0.523125	-0.513449	-0.410893	-0.276982	-0.171127
0.057166	-0.489626	-0.641422	-0.419127	-0.474128	-0.643846	-0.449392	-0.829825	-0.687076	-0.741674	-0.783799	-0.674052	-0.295325	-0.107522	-0.054569	-0.162909
0.141867	-0.356909	-0.200989	-0.174797	-0.422219	-0.475264	-0.403841	-0.812345	-0.639204	-0.575134	-0.57736	-0.544521	-0.919439	-0.771456	-0.562671	-0.220497
0.034733	-0.755905	-0.739427	-0.646786	-0.689571	-0.985678	-0.622241	-1.267775	-0.801624	-0.761928	-0.70491	-0.778634	-0.752864	-0.67674	-0.371886	-0.179348
0.118437	-0.845457	-1.04951	-0.982761	-1.065308	-1.692374	-0.909939	-2.00732	-1.131879	-1.265068	-1.188303	-1.221348	-0.659459	-0.566181	-0.162149	-0.171127
0.118704	-1.079155	-1.517764	-1.35998	-1.303019	-2.131708	-1.115197	-2.542643	-1.495284	-1.851354	-1.656313	-1.742729	-1.063067	-1.101575	-0.593503	-0.138274
0.172718	-0.873302	-1.259835	-1.227692	-1.13495	-1.87931	-1.06922	-2.533279	-1.765188	-2.322084	-1.95053	-2.102491	-1.245318	-1.301319	-0.754787	0.074103
-0.012732	-1.250329	-1.887936	-1.7546	-1.215629	-2.015525	-1.18249	-2.859209	-1.832883	-2.459566	-1.95904	-2.182818	-1.015684	-1.090422	-0.604645	0.244182
0.176625	-0.979926	-1.496799	-1.467848	-1.150808	-1.743093	-1.152005	-2.824068	-1.801884	-2.442458	-1.760353	-2.126605	-1.220448	-1.411661	-0.795293	0.340793
-0.060956	-1.379465	-1.899734	-1.856844	-1.377629	-2.158571	-1.355374	-3.21719	-1.921689	-2.678384	-1.858044	-2.205997	-1.369336	-1.673207	-1.03232	0.356854
-0.195866	-1.321571	-1.485436	-1.571994	-1.388308	-2.170436	-1.365629	-3.319702	-2.128835	-3.020689	-2.113301	-2.316296	-1.445896	-1.668541	-1.131538	0.380925
-0.291595	-1.512665	-1.809511	-1.827344	-1.347241	-2.052062	-1.369937	-3.254428	-1.96896	-2.778496	-1.854574	-1.956389	-1.378539	-1.546414	-1.046434	0.348825
-0.128701	-1.31	-1.43713	-1.496973	-1.422939	-2.105423	-1.413394	-3.342082	-1.953122	-2.69012	-1.857319	-1.777162	-1.112477	-1.040739	-0.749735	0.276432
-0.14257	-1.287544	-1.323816	-1.383952	-1.17161	-1.599406	-1.166907	-2.806567	-1.85642	-2.482073	-1.658745	-1.445827	-0.8069	-0.52446	-0.388771	0.340793
