fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 12:00:36 PM
VariableInfo
Name:	oxygraph4.hbt.Block1
Size:	2036 x 16
Type:	Numeric
Content:	Hemoglobin
Date:	12/18/2023 12:00:25 PM
Notes:	Total-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\Anette Johansson\Documents\COBI Studio Data\LRV patienter\0003p_group1_R\FILIPPA_0003p_1_01181508.oxy
Labels:	HBT	DATA
VariableData
Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin
Optode1	Optode2	Optode3	Optode4	Optode5	Optode6	Optode7	Optode8	Optode9	Optode10	Optode11	Optode12	Optode13	Optode14	Optode15	Optode16
0.749976	0.262623	-0.441563	-0.133311	-0.498942	-0.608176	-0.478888	-0.788681	-0.699392	-0.749334	-0.794346	-0.787925	-0.347007	-0.166035	-0.00150300000000003	0.090767
0.406958	-0.334648	-0.310608	-0.120974	-0.429913	-0.586738	-0.382195	-0.841316	-0.604361	-0.657544	-0.606979	-0.632211	-0.322967	-0.082586	-0.004243	0.086409
-0.056179	-1.028707	-0.603833	-0.500746	-0.692908	-1.228907	-0.59605	-1.461052	-0.76089	-0.92678	-0.817292	-0.826941	-0.350314	-0.0964390000000001	0.035115	0.116953
0.035339	-1.256952	-0.555866	-0.591982	-0.668341	-1.210865	-0.58103	-1.581557	-0.935796	-1.21701	-0.990613	-1.053643	-0.735	-0.599752	-0.209281	0.095127
0.316125	-1.579763	-1.008844	-1.058278	-0.891314	-1.667505	-0.766929	-2.198536	-1.149194	-1.54212	-1.21206	-1.339708	-0.882857	-0.89805	-0.291925	0.090767
0.726033	-1.672123	-1.311412	-1.372793	-1.183296	-2.249825	-0.96907	-2.957429	-1.384013	-1.988463	-1.377525	-1.626343	-0.981852	-1.059781	-0.461791	0.073342
0.827087	-1.889049	-1.678046	-1.742745	-1.329781	-2.625249	-1.129575	-3.558976	-1.79027	-2.793504	-1.863457	-2.158946	-1.215289	-1.336327	-0.855303	-0.039305
0.890037	-2.074667	-1.800818	-1.908976	-1.401433	-2.713266	-1.254405	-4.002136	-1.880139	-3.112863	-1.800984	-2.235708	-1.433688	-1.565181	-1.186364	-0.129515
0.895931	-2.303302	-1.866336	-2.001916	-1.592668	-3.017423	-1.491397	-4.600505	-2.271663	-3.813459	-2.233749	-2.716059	-1.747492	-2.061258	-1.556092	-0.180759
0.609943	-2.704042	-1.879498	-2.149279	-1.486591	-2.757193	-1.469092	-4.692498	-2.394411	-4.124999	-2.296873	-2.791712	-1.821079	-2.266101	-1.814207	-0.189278
0.22712	-3.089786	-1.929198	-2.241624	-1.552009	-2.910105	-1.561226	-5.017506	-2.346454	-4.18709	-2.104054	-2.544629	-1.666105	-2.011162	-1.843379	-0.202045
0.312674	-2.988427	-1.785695	-2.164926	-1.388731	-2.493459	-1.461368	-4.78149	-2.265944	-4.126165	-1.914353	-2.188596	-1.759054	-1.932249	-1.997333	-0.185019
0.237873	-3.054309	-1.897985	-2.193148	-1.476785	-2.625575	-1.523706	-4.870534	-2.232915	-4.037241	-1.893585	-1.898944	-1.632469	-1.533078	-1.909472	-0.146621
0.24523	-2.899352	-1.471858	-1.808959	-1.567399	-2.73355	-1.569056	-4.910295	-2.284206	-4.093148	-2.056816	-1.759492	-1.928614	-1.63106	-2.155551	-0.180759
0.136563	-2.898124	-1.376265	-1.745477	-1.314041	-2.226015	-1.322053	-4.390509	-2.053593	-3.707749	-1.807064	-1.31705	-1.669923	-1.160619	-1.928132	-0.163703
0.046766	-2.91852	-1.279383	-1.665983	-1.187735	-2.045541	-1.187555	-4.10127	-1.746368	-3.321612	-1.409801	-0.877712	-1.338108	-0.667018	-1.620781	-0.133794
-0.014128	-2.850964	-1.104575	-1.518176	-1.146356	-1.956472	-1.081824	-3.934175	-1.653853	-3.304968	-1.417719	-0.830001	-1.01226	-0.266702	-1.372685	-0.120954
-0.036985	-2.730919	-0.89553	-1.339091	-1.102193	-1.929623	-0.981131	-3.76206	-1.317405	-2.972587	-1.067016	-0.546906	-0.992556	-0.232221	-1.369957	-0.15195
-0.086009	-2.734595	-0.799318	-1.304538	-0.963382	-1.749024	-0.803335	-3.517637	-1.255158	-3.030546	-1.075247	-0.61857	-1.05413	-0.300625	-1.46633	-0.197791
-0.107781	-2.631625	-0.604764	-1.153733	-0.896096	-1.818574	-0.717981	-3.51853	-1.087418	-2.978566	-0.95989	-0.58571	-0.970304	-0.266702	-1.448689	-0.202045
-0.167416	-2.740335	-0.734722	-1.301315	-0.728101	-1.663706	-0.556996	-3.336964	-0.843558	-2.787386	-0.74145	-0.514652	-1.072857	-0.434552	-1.543912	-0.244503
-0.19358	-2.748499	-0.734574	-1.319617	-0.525163	-1.347935	-0.387318	-3.044965	-0.840933	-2.862625	-0.803835	-0.600096	-0.873567	-0.266911	-1.38726	-0.219046
-0.174652	-2.628163	-0.572127	-1.188809	-0.433086	-1.304061	-0.323132	-2.923388	-0.80382	-2.815089	-0.812879	-0.659921	-1.189921	-0.667192	-1.696436	-0.274135
-0.167416	-2.545796	-0.441566	-1.073449	-0.516577	-1.599583	-0.395509	-3.079454	-0.657855	-2.557366	-0.589933	-0.526218	-0.87484	-0.316401	-1.369957	-0.227538
-0.164611	-2.569017	-0.522809	-1.124365	-0.445072	-1.553722	-0.361753	-2.968527	-0.529918	-2.34074	-0.426651	-0.380245	-0.894027	-0.350927	-1.373862	-0.252977
-0.100529	-2.489865	-0.42536	-1.022318	-0.485376	-1.644357	-0.419222	-2.999519	-0.473815	-2.154467	-0.395058	-0.384895	-0.918548	-0.382461	-1.384366	-0.227538
-0.139371	-2.51092	-0.506855	-1.073449	-0.349395	-1.372285	-0.352879	-2.717731	-0.72562	-2.40115	-0.740861	-0.680778	-0.802168	-0.214391	-1.213164	-0.214798
-0.14662	-2.463205	-0.376151	-0.973664	-0.234009	-1.189899	-0.289369	-2.483496	-0.703048	-2.27573	-0.750658	-0.706086	-0.86671	-0.246056	-1.241825	-0.215878
-0.230449	-2.448057	-0.457378	-1.025561	-0.275589	-1.257367	-0.326026	-2.478324	-0.713663	-2.213303	-0.761051	-0.717574	-0.951556	-0.364111	-1.351576	-0.237111
-0.196123	-2.446854	-0.424612	-0.959286	-0.395768	-1.531617	-0.428188	-2.592586	-0.601938	-1.951247	-0.578876	-0.593193	-0.918768	-0.298742	-1.354015	-0.252977
-0.21501	-2.504952	-0.505558	-1.026981	-0.340003	-1.395278	-0.408233	-2.468012	-0.620552	-1.884414	-0.618064	-0.648445	-0.971145	-0.366237	-1.385876	-0.271005
-0.198017	-2.463205	-0.408822	-0.92321	-0.267404	-1.212729	-0.344889	-2.211944	-0.748176	-2.011343	-0.8142	-0.846097	-0.918548	-0.34892	-1.384366	-0.265676
-0.18541	-2.404872	-0.310694	-0.805055	-0.276543	-1.258427	-0.34693	-2.211944	-0.648527	-1.826076	-0.687537	-0.738232	-1.067551	-0.514643	-1.506226	-0.282587
-0.183524	-2.415423	-0.310608	-0.790024	-0.107158	-0.960122	-0.200814	-1.875444	-0.543277	-1.668307	-0.556138	-0.604737	-1.014181	-0.482104	-1.476013	-0.291033
-0.190773	-2.487639	-0.376261	-0.837912	-0.12656	-1.006006	-0.194867	-1.827107	-0.485845	-1.606595	-0.578279	-0.632396	-0.876517	-0.34757	-1.350699	-0.286811
-0.124861	-2.486497	-0.343432	-0.790024	-0.165166	-1.096396	-0.213795	-1.840679	-0.37594	-1.459284	-0.441588	-0.488989	-0.787983	-0.266702	-1.27933	-0.328968
-0.091384	-2.446854	-0.261124	-0.725027	-0.063538	-0.912803	-0.126079	-1.646711	-0.337138	-1.401874	-0.414936	-0.452126	-0.788994	-0.266176	-1.232208	-0.337382
-0.029962	-2.345299	-0.080007	-0.536054	0.068154	-0.772464	-0.013005	-1.449185	-0.33174	-1.430759	-0.476454	-0.48222	-0.737267	-0.214391	-1.167441	-0.328968
-0.064397	-2.310157	-0.079696	-0.533847	0.135678	-0.819729	0.030118	-1.483183	-0.074307	-1.12721	-0.192894	-0.219622	-0.774742	-0.233844	-1.157514	-0.366782
-0.049895	-2.382586	-0.030104	-0.500746	0.189527	-0.770302	0.060689	-1.380803	0.0544210000000001	-0.999992	-0.029079	-0.063025	-0.657134	-0.116209	-1.064224	-0.362587
-0.063484	-2.479283	-0.095582	-0.582855	0.314283	-0.517844	0.16078	-1.172925	-0.117366	-1.287451	-0.313303	-0.296461	-0.591321	-0.03206	-0.972175	-0.375169
0.009019	-2.381497	0.119554	-0.416146	0.28482	-0.726278	0.15091	-1.270545	0.020557	-1.097279	-0.129568	-0.144971	-0.494978	0.10315	-0.831402	-0.370976
-0.01636	-2.404872	0.119307	-0.451584	0.438404	-0.494328	0.260795	-1.090945	0.155507	-0.915857	0.027991	0.035709	-0.335666	0.25613	-0.687993	-0.35532
0.043532	-2.344188	0.2694	-0.299198	0.331767	-0.747644	0.155246	-1.302152	0.20631	-0.834417	0.118511	0.149066	-0.324708	0.273097	-0.671856	-0.351119
0.017209	-2.217773	0.218915	-0.351907	0.400729	-0.586097	0.19953	-1.172094	0.22945	-0.784795	0.185854	0.23189	-0.506835	0.052389	-0.79836	-0.380498
0.017209	-1.971634	0.252392	-0.284212	0.453206	-0.470229	0.237689	-1.106865	0.157015	-0.882882	0.08527	0.189184	-0.333947	0.255878	-0.577261	-0.35839
0.028072	-1.756335	0.268604	-0.235738	0.422252	-0.466421	0.211046	-1.052864	0.060212	-1.013514	-0.038281	0.092318	-0.482515	0.052556	-0.70465	-0.391925
0.022635	-1.63517	0.218915	-0.200222	0.303487	-0.654462	0.103951	-1.219599	0.000425999999999982	-0.998089	-0.0833199999999999	0.06154	-0.390376	0.205148	-0.558288	-0.35419
0.028072	-1.586302	0.152711	-0.248629	0.194256	-0.77109	0.017486	-1.303019	-0.024038	-0.981666	-0.0284030000000001	0.089844	-0.635379	-0.048928	-0.764931	-0.379361
-0.021786	-1.513556	0.120153	-0.246264	0.214262	-0.633108	0.034331	-1.140318	-0.0621100000000001	-0.950758	-0.0534899999999999	0.056686	-0.574162	0.069661	-0.667653	-0.35839
-0.032695	-1.295015	0.26875	-0.081421	0.194256	-0.607355	0.016579	-1.104227	-0.164658	-1.029925	-0.206093	-0.060625	-0.746451	-0.048297	-0.760353	-0.349991
-0.042603	-1.342266	0.038046	-0.193099	0.050842	-0.761599	-0.108281	-1.224426	-0.29279	-1.131294	-0.423996	-0.22037	-0.702891	0.00183800000000001	-0.683921	-0.345789
0.04261	-1.179767	0.168463	-0.06626	0.091909	-0.581873	-0.088205	-1.033943	-0.414213	-1.214678	-0.602584	-0.38636	-0.949146	-0.250214	-0.886888	-0.341587
0.049936	-1.167405	0.104556	-0.072841	0.036125	-0.608176	-0.143481	-1.052864	-0.378716	-1.079088	-0.438334	-0.305884	-0.913103	-0.216986	-0.84482	-0.362587
0.050811	-1.07603	0.0853639999999999	-0.101843	0.048911	-0.423026	-0.102891	-0.858196	-0.372021	-1.017272	-0.386104	-0.287127	-0.811904	-0.098334	-0.727749	-0.320549
0.003636	-1.088187	0.003633	-0.16098	0.104834	-0.307913	-0.056069	-0.744958	-0.397295	-1.058587	-0.466015	-0.373123	-0.789876	-0.065287	-0.714862	-0.351119
-0.007301	-0.955809	0.068972	-0.09873	0.143906	-0.347623	-0.030146	-0.733379	-0.24255	-0.894908	-0.255131	-0.209917	-0.747808	-0.064834	-0.713204	-0.337382
-0.027246	-0.918084	0.019383	-0.148409	0.211631	-0.301001	0.013025	-0.700461	-0.112948	-0.765934	-0.046624	-0.064941	-0.596817	0.052806	-0.620379	-0.349991
-0.000888	-0.856892	0.152036	-0.071048	0.224312	-0.352717	0.00249199999999999	-0.75767	0.040172	-0.60315	0.185854	0.06897	-0.543176	0.036171	-0.651362	-0.35419
-0.08431	-1.019105	-0.046507	-0.300325	0.262944	-0.302935	0.036833	-0.72182	0.043238	-0.664886	0.178517	0.050768	-0.454367	0.086234	-0.638856	-0.375169
-0.104968	-0.994164	0.019235	-0.308091	0.172149	-0.656578	-0.047666	-0.958391	0.05874	-0.704118	0.237511	0.021578	-0.247409	0.221875	-0.466161	-0.38469
-0.125006	-0.981449	0.086432	-0.316418	0.138889	-0.860505	-0.083776	-1.132811	-0.024182	-0.85806	0.100579	-0.120394	-0.32981	0.086633	-0.595044	-0.400294
-0.139371	-0.908407	0.168425	-0.27206	0.232278	-0.838018	-0.047703	-1.084471	-0.085458	-0.956166	-0.000640000000000029	-0.137046	-0.246944	0.170939	-0.529243	-0.375169
-0.174652	-0.973502	0.10203	-0.338784	0.30021	-0.67628	0.0175	-0.902044	-0.040523	-0.788956	0.099846	0.014346	-0.06308	0.358069	-0.353318	-0.366782
-0.065149	-0.817338	0.402135	-0.08828	0.413932	-0.42161	0.079199	-0.638819	-0.132837	-0.859343	-0.077364	-0.038132	-0.289513	0.221988	-0.513642	-0.370976
-0.061638	-0.757023	0.485938	0.031687	0.417466	-0.298794	0.08199	-0.480354	-0.160269	-0.76351	-0.123265	0.022412	-0.571392	0.018579	-0.733287	-0.379361
-0.042638	-0.608346	0.654404	0.220771	0.360128	-0.453722	0.062919	-0.521023	-0.0958559999999999	-0.572162	-0.050922	0.15826	-0.386415	0.341454	-0.483556	-0.379361
-0.08431	-0.751507	0.38579	0.035616	0.457714	-0.246984	0.131606	-0.341068	-0.090011	-0.550517	-0.06843	0.19685	-0.375437	0.409785	-0.467355	-0.362587
-0.057148	-0.690875	0.452877	0.138868	0.382595	-0.248375	0.103241	-0.358365	-0.025748	-0.396483	0.06991	0.290508	-0.50222	0.274226	-0.563787	-0.379361
-0.111447	-0.765206	0.26875	0.020418	0.314479	-0.316091	0.059086	-0.405996	-0.059246	-0.421569	0.040011	0.260404	-0.503345	0.291048	-0.563307	-0.379361
-0.068896	-0.611622	0.485994	0.20537	0.369888	-0.181465	0.115433	-0.329111	-0.207522	-0.598077	-0.199736	-0.00336499999999998	-0.399273	0.426481	-0.434259	-0.345789
-0.116866	-0.759215	0.185903	-0.01088	0.399858	-0.089872	0.148171	-0.26496	-0.115909	-0.468022	-0.057146	0.102417	-0.525777	0.273671	-0.531538	-0.370976
-0.01636	-0.655954	0.335606	0.107423	0.176044	-0.509694	-0.020437	-0.616272	-0.190412	-0.554286	-0.14938	-0.025072	-0.314539	0.477664	-0.336938	-0.333175
-0.0227	-0.768323	0.08549	-0.0803	0.101863	-0.629125	-0.113608	-0.750409	-0.158132	-0.441986	-0.03163	0.0167360000000001	-0.461647	0.341655	-0.467902	-0.362587
0.104458	-0.607232	0.335606	0.142317	0.019719	-0.793748	-0.168735	-0.920008	-0.315609	-0.626393	-0.265924	-0.191653	-0.538674	0.2221	-0.562248	-0.375169
0.029906	-0.709122	0.152105	0.006509	0.113644	-0.561021	-0.116907	-0.720791	-0.333114	-0.605494	-0.27316	-0.231244	-0.628083	0.154033	-0.621913	-0.370976
-0.017279	-0.759215	0.052478	-0.077954	0.140135	-0.514619	-0.100997	-0.655836	-0.410792	-0.748125	-0.412376	-0.37071	-0.477304	0.306936	-0.512319	-0.375169
-0.097881	-0.794095	-0.063639	-0.164567	0.166657	-0.492524	-0.100039	-0.689831	-0.410792	-0.699462	-0.369779	-0.384678	-0.683091	0.069661	-0.762009	-0.39611
-0.055307	-0.831953	-0.063685	-0.181851	-0.044858	-0.910622	-0.281379	-1.038918	-0.310289	-0.574424	-0.263768	-0.289589	-0.672551	0.035963	-0.792868	-0.404477
-0.075225	-0.934708	-0.228521	-0.299198	-0.024717	-0.796402	-0.278457	-0.958391	-0.441681	-0.723825	-0.419355	-0.454399	-0.531705	0.187989	-0.684681	-0.405623
-0.041711	-0.792557	-0.014007	-0.116028	-0.044858	-0.794512	-0.288344	-0.954768	-0.481554	-0.775258	-0.443727	-0.477135	-0.54257	0.205027	-0.683921	-0.39611
-0.11054	-0.864977	-0.129217	-0.177051	-0.048227	-0.819729	-0.277468	-0.942408	-0.425626	-0.672014	-0.340034	-0.352351	-0.872069	-0.149862	-0.968911	-0.442051
-0.165647	-0.844787	-0.078313	-0.138324	-0.0175059999999999	-0.749066	-0.273448	-0.906084	-0.440363	-0.674132	-0.363381	-0.396506	-0.820364	-0.082586	-0.935362	-0.434868
-0.14662	-0.896964	-0.129731	-0.197987	-0.034803	-0.818583	-0.296268	-0.972567	-0.389418	-0.622141	-0.31594	-0.333613	-0.733117	0.00176899999999999	-0.90662	-0.455714
-0.118546	-0.999483	-0.228521	-0.264722	-0.099098	-0.936013	-0.335059	-1.026313	-0.32102	-0.542199	-0.252614	-0.301212	-0.650074	0.120298	-0.809092	-0.430695
-0.077793	-0.943752	-0.096673	-0.149513	-0.237908	-1.164112	-0.440987	-1.219599	-0.252477	-0.412972	-0.120785	-0.193968	-0.756613	-0.015166	-0.919226	-0.446219
-0.087881	-0.869769	-0.030628	-0.064099	-0.234069	-1.119949	-0.422258	-1.141106	-0.150063	-0.267471	0.086387	-0.084147	-0.863138	-0.116209	-1.04433	-0.45455
-0.086009	-0.818316	0.101998	0.036686	-0.055389	-0.751101	-0.283426	-0.828515	-0.140575	-0.317705	-0.00240700000000005	-0.179949	-0.882033	-0.149862	-1.093151	-0.479507
-0.141233	-0.955356	-0.029651	-0.074171	0.121222	-0.377478	-0.123089	-0.494583	-0.124406	-0.331419	0.0222059999999999	-0.161337	-1.10327	-0.417504	-1.327536	-0.508559
-0.105912	-0.898444	0.10203	-0.012052	-0.00842200000000004	-0.628127	-0.213491	-0.718633	-0.341052	-0.719602	-0.369124	-0.465936	-0.733522	-0.015182	-0.998303	-0.467035
-0.154789	-1.166031	-0.27736	-0.346118	-0.080319	-0.77109	-0.27537	-0.840408	-0.144579	-0.460954	-0.063476	-0.231244	-0.957085	-0.233889	-1.200975	-0.467035
-0.04711	-0.985954	0.019136	-0.096481	-0.287553	-1.228907	-0.424841	-1.19996	-0.160861	-0.480725	-0.110722	-0.254653	-0.878705	-0.132385	-1.095528	-0.475352
-0.11054	-1.180796	-0.260122	-0.343562	-0.105737	-0.863943	-0.267445	-0.841316	-0.00806699999999994	-0.283222	0.110538	-0.0279160000000001	-1.164741	-0.45038	-1.359142	-0.496118
-0.021773	-0.951168	0.119094	-0.043218	-0.122577	-0.926558	-0.282761	-0.865903	-0.191813	-0.55992	-0.173769	-0.231244	-0.840083	-0.082627	-1.030423	-0.455714
-0.155708	-1.244934	-0.341773	-0.427158	0.07545	-0.466421	-0.118779	-0.554602	-0.262404	-0.663586	-0.306511	-0.327753	-0.829279	-0.099392	-1.015714	-0.458713
-0.052498	-1.113692	-0.112836	-0.247463	-0.206843	-1.089295	-0.332519	-1.017077	-0.229597	-0.627375	-0.220271	-0.303557	-0.627016	0.120079	-0.842207	-0.429539
-0.097881	-1.208839	-0.242494	-0.375423	-0.024821	-0.677163	-0.219548	-0.722815	-0.51514	-1.060713	-0.620051	-0.64607	-0.435352	0.290378	-0.713204	-0.405623
-0.014502	-1.08961	-0.046704	-0.2141	-0.228816	-1.115511	-0.358561	-1.086487	-0.288798	-0.709215	-0.220825	-0.331469	-0.519408	0.170939	-0.79517	-0.429539
