fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 12:00:36 PM
VariableInfo
Name:	oxygraph4.oxy.Block1
Size:	2036 x 16
Type:	Numeric
Content:	Hemoglobin
Date:	12/18/2023 12:00:25 PM
Notes:	Oxygenation (difference Hb) concentration changes data saved by Oxygraph from file C:\Users\Anette Johansson\Documents\COBI Studio Data\LRV patienter\0003p_group1_R\FILIPPA_0003p_1_01181508.oxy
Labels:	OXY	DATA
VariableData
Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin
Optode1	Optode2	Optode3	Optode4	Optode5	Optode6	Optode7	Optode8	Optode9	Optode10	Optode11	Optode12	Optode13	Optode14	Optode15	Optode16
-0.336272	-0.245623	-0.347487	-0.184639	-0.355878	-0.27558	-0.341798	-0.488711	-0.316426	-0.273928	-0.21892	-0.258325	-0.679891	-0.655751	-0.552461	-0.433021
-0.292626	-0.644604	-0.972236	-0.71728	-0.518343	-0.700954	-0.516589	-0.818334	-0.769791	-0.825804	-0.960619	-0.715893	-0.267683	-0.132458	-0.104895	-0.412227
0.339913	0.314889	0.201855	0.151152	-0.15153	0.278379	-0.211632	-0.163638	-0.517518	-0.223488	-0.337428	-0.262101	-1.488564	-1.446473	-1.160457	-0.557947
0.034127	-0.254858	-0.922988	-0.70159	-0.710801	-0.760491	-0.663452	-0.953993	-0.667452	-0.306846	-0.419207	-0.503625	-0.770728	-0.753728	-0.534491	-0.453823
-0.079251	-0.111151	-1.090176	-0.907244	-1.239302	-1.717243	-1.052949	-1.816104	-1.114564	-0.988016	-1.164546	-1.102988	-0.436061	-0.234312	-0.032373	-0.433021
-0.488625	-0.486187	-1.724116	-1.347167	-1.422742	-2.013591	-1.261324	-2.127857	-1.606555	-1.714245	-1.935101	-1.859115	-1.144282	-1.143369	-0.725215	-0.34989
-0.481651	0.142445	-0.841624	-0.712639	-0.940119	-1.133371	-1.008865	-1.507582	-1.740106	-1.850664	-2.037603	-2.046036	-1.275347	-1.266311	-0.654271	0.187511
-0.915501	-0.425991	-1.975054	-1.600224	-1.029825	-1.317784	-1.110575	-1.716282	-1.785627	-1.806269	-2.117096	-2.129928	-0.59768	-0.615663	-0.022926	0.617879
-0.542681	0.34345	-1.127262	-0.93378	-0.708948	-0.468763	-0.812613	-1.047631	-1.332105	-1.071457	-1.286957	-1.537151	-0.693404	-0.762064	-0.034494	0.862345
-0.731855	-0.054888	-1.91997	-1.564409	-1.268667	-1.559949	-1.241656	-1.741882	-1.448967	-1.231769	-1.419215	-1.620282	-0.917593	-1.080313	-0.250433	0.902986
-0.618852	0.446644	-1.041674	-0.902364	-1.224607	-1.430767	-1.170032	-1.621898	-1.911216	-1.854288	-2.122548	-2.087963	-1.225687	-1.32592	-0.419697	0.963895
-0.895864	-0.0369029999999999	-1.833327	-1.489762	-1.305751	-1.610665	-1.278506	-1.727366	-1.671976	-1.430827	-1.794795	-1.724182	-0.998024	-1.160579	-0.095535	0.882669
-0.495275	0.434309	-0.976275	-0.800798	-1.369093	-1.585271	-1.303082	-1.81363	-1.673329	-1.342999	-1.821053	-1.65538	-0.592485	-0.5484	0.410002	0.699485
-0.53037	0.324264	-1.175774	-0.958945	-0.775821	-0.465262	-0.764758	-0.702839	-1.428634	-0.870998	-1.260674	-1.132162	0.314814	0.58214	1.378009	0.862345
