fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 12:16:54 PM
VariableInfo
Name:	oxygraph33.hbt.Block1
Size:	2335 x 16
Type:	Numeric
Content:	Hemoglobin
Date:	12/18/2023 12:16:45 PM
Notes:	Total-hemoglobin concentration changes data saved by Oxygraph from file C:\Users\Anette Johansson\Documents\COBI Studio Data\LRV patienter\0034p_group1_R\NHPM_0034p.oxy
Labels:	HBT	DATA
VariableData
Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin
Optode1	Optode2	Optode3	Optode4	Optode5	Optode6	Optode7	Optode8	Optode9	Optode10	Optode11	Optode12	Optode13	Optode14	Optode15	Optode16
0.066568	0.074321	0.043716	0.136933	-0.017364	-0.082908	-0.065255	-0.145262	0.098357	-0.14206	0.00251100000000004	-0.102418	-0.373374	-0.296927	-0.0775	0.135732
-0.024852	-0.011435	-0.050967	0.065294	-0.061317	-0.103076	-0.140936	-0.14453	-0.068898	-0.203712	-0.122327	-0.232151	-0.024735	0.089093	0.310974	0.410241
0.061858	0.040677	-0.013806	0.083157	-0.173485	-0.226176	-0.251666	-0.200519	-0.104382	-0.191313	-0.076832	-0.213424	-0.167441	-0.09516	0.166923	0.325182
0.051015	-0.00887099999999996	-0.055787	0.013045	-0.309527	-0.40781	-0.431706	-0.318231	-0.092544	-0.22894	-0.045007	-0.177406	-0.441811	-0.321465	-0.061038	0.128763
-0.047902	-0.11994	-0.132437	-0.090709	-0.241423	-0.365961	-0.27837	-0.372466	-0.080551	-0.278168	-0.028875	-0.212906	-0.32293	-0.209035	0.020348	0.193098
0.01949	-0.070522	-0.013806	-0.020442	-0.287511	-0.369104	-0.372318	-0.385029	-0.071858	-0.265971	-0.095922	-0.270549	-0.186837	-0.096237	0.149177	0.241902
-0.043779	-0.177877	-0.065815	-0.090156	-0.253406	-0.345274	-0.377762	-0.3895	-0.018488	-0.166629	0.09414	-0.101447	-0.166146	-0.117993	0.123791	0.181376
-0.027684	-0.241622	-0.032996	-0.12227	-0.211138	-0.261277	-0.311761	-0.349122	-0.325023	-0.29139	-0.347928	-0.479639	-0.105578	-0.072696	0.166923	0.182441
0.055193	-0.379829	0.025836	-0.193898	-0.245535	-0.282999	-0.323357	-0.368542	-0.351256	-0.277521	-0.291554	-0.493458	-0.128731	-0.05111	0.160091	0.114046
-0.00381700000000001	-0.536058	-0.010006	-0.32753	-0.308812	-0.343729	-0.385196	-0.496804	-0.416382	-0.315228	-0.377448	-0.570008	-0.202455	-0.138396	0.204936	0.043788
-0.250967	-0.7641	-0.233573	-0.518728	-0.450417	-0.562145	-0.571345	-0.685476	-0.41336	-0.353226	-0.399494	-0.610418	-0.390344	-0.343216	0.052557	-0.104473
-0.270955	-0.78958	-0.197858	-0.532722	-0.560579	-0.647334	-0.66118	-0.815794	-0.42237	-0.365156	-0.320349	-0.571017	-0.159216	-0.116627	0.301394	0.042594
