fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 12:16:54 PM
VariableInfo
Name:	oxygraph33.oxy.Block1
Size:	2335 x 16
Type:	Numeric
Content:	Hemoglobin
Date:	12/18/2023 12:16:45 PM
Notes:	Oxygenation (difference Hb) concentration changes data saved by Oxygraph from file C:\Users\Anette Johansson\Documents\COBI Studio Data\LRV patienter\0034p_group1_R\NHPM_0034p.oxy
Labels:	OXY	DATA
VariableData
Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin
Optode1	Optode2	Optode3	Optode4	Optode5	Optode6	Optode7	Optode8	Optode9	Optode10	Optode11	Optode12	Optode13	Optode14	Optode15	Optode16
-0.006624	0.124957	-0.244188	-0.010481	0.695842	0.838214	0.798499	0.384612	0.397209	0.287888	0.506127	0.612066	-0.17101	-0.182423	-0.48746	-0.444758
0.81906	0.923943	0.513169	0.686228	0.603753	0.795958	0.639934	0.319512	-0.520846	-0.271416	-0.783239	-0.578773	-0.744353	-0.795463	-1.152634	-0.790293
0.27544	0.545265	0.233938	0.482605	0.837675	1.106648	0.909028	0.401945	-0.595192	-0.245435	-0.802922	-0.539534	-0.063545	0.083554	-0.465407	-0.27702
0.978017	1.172157	0.740265	0.817093	0.786105	1.008914	0.864174	0.288207	-0.286084	-0.065924	-0.162837	0.06235	0.649967	0.855153	0.35732	0.337809
1.059088	1.181568	0.698007	0.839343	0.461201	0.671991	0.519356	0.240938	-0.830559	-0.341208	-0.932937	-0.670588	0.578854	0.781055	0.366422	0.245634
0.477564	0.556578	0.233938	0.386158	1.181177	1.512418	1.484622	0.545631	-0.38477	-0.229535	-0.613074	-0.395589	0.327539	0.706551	0.150177	0.120286
0.779403	0.939207	0.482059	0.600868	0.318774	0.573304	0.47814	0.138884	-0.27295	-0.107511	-0.329698	-0.041285	-0.169118	0.192479	-0.392095	-0.234764
-0.204102	-0.046208	-0.284836	-0.068598	-0.181802	0.035423	-0.222175	-0.175842	0.214161	0.232004	0.786902	0.730499	-0.259224	0.130622	-0.465407	-0.346891
0.697425	0.998891	0.555228	0.742694	-0.017705	0.276209	0.090005	-0.083202	-1.11244	-0.598747	-1.252806	-0.99434	0.449281	0.801102	0.497477	0.193568
