fnirSoft:	Exported Text File
Version:	4.2
ExportDate:	12/18/2023 12:22:16 PM
VariableInfo
Name:	oxygraph48.oxy.Block1
Size:	2000 x 16
Type:	Numeric
Content:	Hemoglobin
Date:	12/18/2023 12:22:06 PM
Notes:	Oxygenation (difference Hb) concentration changes data saved by Oxygraph from file C:\Users\Anette Johansson\Documents\COBI Studio Data\LRV patienter\0049P group 1\ANETTE_0049P_1_11101451.oxy
Labels:	OXY	DATA
VariableData
Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin	Hemoglobin
Optode1	Optode2	Optode3	Optode4	Optode5	Optode6	Optode7	Optode8	Optode9	Optode10	Optode11	Optode12	Optode13	Optode14	Optode15	Optode16
1.187019	1.03887	0.706253	0.272167	-0.36302	0.325558	0.307628	0.16072	0.317517	0.464386	0.00714700000000001	0.23606	-0.0739179999999999	0.177686	0.00534800000000002	0.302148
0.74765	0.368208	0.185642	-0.085951	-0.684445	-0.088244	-0.186494	-0.277475	0.62723	0.856253	0.596752	0.692117	0.591315	0.563301	0.429902	0.764813
0.62884	0.58414	0.017377	-0.180121	-0.347357	-0.047774	0.05416	-0.193122	0.48718	0.621849	0.351021	0.444359	-0.046244	0.12222	-0.073763	0.418673
-0.065644	-0.00069600000000003	-0.340267	-0.309551	-0.603834	-0.305191	-0.233043	-0.371181	0.403474	0.616438	0.317371	0.522002	-0.817014	-0.426174	-0.707838	-0.068858
-0.6143	-0.159063	-0.518696	-0.367297	-0.719723	-0.314128	-0.227333	-0.353496	0.48922	0.558899	0.311308	0.473656	0.029656	0.191214	-0.064372	0.458111
-0.0562900000000001	0.251051	-0.241568	-0.084844	-0.816773	-0.224445	-0.21359	-0.327756	0.710798	0.697322	0.453819	0.54751	-0.722848	-0.400726	-0.622406	-0.025548
0.078924	0.581532	-0.104669	0.140256	-1.133009	-0.337272	-0.384503	-0.426357	0.656336	0.561528	0.371431	0.521131	-0.169336	-0.049302	-0.174693	0.316302
-0.057266	0.420694	-0.246344	-0.028423	-1.471775	-0.674298	-0.877114	-0.822099	0.026713	-0.035374	-0.528816	-0.223093	0.113594	0.226441	0.256532	0.594458
-0.124697	-0.096769	-0.234541	-0.188474	-1.674305	-0.819487	-0.944729	-0.844153	0.232291	0.141299	-0.317732	0.035645	-0.01434	-0.00917200000000007	0.037265	0.382568
-0.554464	-0.879002	-0.555985	-0.639324	-1.268185	-0.39209	-0.602351	-0.640875	0.547159	0.467845	0.35763	0.489254	0.218512	0.0435019999999999	0.162561	0.479047
-0.184165	-0.349578	-0.208354	-0.190443	-1.225052	-0.332488	-0.457903	-0.592314	-0.133823	-0.225459	-0.507947	-0.31376	0.131174	0.077051	0.0949220000000001	0.504152
-0.876244	-1.100172	-0.928962	-0.495842	-1.427386	-0.427285	-0.524722	-0.684591	0.203135	0.144221	-0.0342980000000002	0.061348	-0.727382	-0.545076	-0.594003	-0.101863
-0.290559	-0.576132	-0.518769	-0.0775960000000001	-1.741116	-0.773293	-0.98137	-1.116159	0.015115	0.0059140000000002	-0.153368	-0.103988	-0.64977	-0.592659	-0.416906	-0.046586
-0.731086	-1.124367	-0.748818	-0.385558	-1.383188	-0.424986	-0.432334	-0.603057	-0.131024	-0.205054	-0.515775	-0.400049	-0.958776	-0.873734	-0.700446	-0.344709
-0.332567	-0.938876	-0.34376	-0.215068	-1.248837	-0.258478	-0.227384	-0.38835	-0.298845	-0.364984	-0.726391	-0.594142	-0.560221	-0.488049	-0.316225	0.0501470000000002
-0.362946	-1.261928	-0.218502	-0.208479	-1.629271	-0.647758	-0.725651	-0.79189	-0.357916	-0.361242	-0.694599	-0.619975	-0.707498	-0.680563	-0.415565	-0.0399829999999999
0.9132	0.011661	0.625731	0.393167	-1.539622	-0.543405	-0.69945	-0.716382	0.001803	0.101492	-0.00422400000000001	-0.056387	-1.041699	-0.867786	-0.655526	-0.314408
1.015223	0.050586	0.515447	0.178666	-1.516719	-0.49038	-0.783145	-0.782341	-0.23068	-0.0995970000000002	-0.515073	-0.405719	-0.718385	-0.703502	-0.49041	-0.242859
1.423466	0.568674	0.705859	0.42903	-1.6743	-0.763093	-1.053124	-1.039381	0.210258	0.317476	0.0462699999999999	0.107742	-0.957537	-0.815075	-0.541059	-0.174712
1.139646	0.330623	0.385177	0.235798	-0.991217	-0.190499	-0.535057	-0.526038	-0.0245569999999999	0.191588	-0.196827	-0.121751	-1.210602	-0.957277	-0.897594	-0.436014
0.682581	0.484423	0.169197	0.171708	-0.413302	0.16869	-0.275209	-0.280007	0.376282	0.548535	0.114082	0.309629	0.0372119999999999	0.068835	0.230296	0.632859
0.216873	-0.346319	0.058215	-0.22587	-0.0917	0.177657	-0.275209	-0.239286	0.255107	0.531872	-0.173317	0.105962	-0.318761	-0.106645	-0.206125	0.295001
0.294307	-0.663496	0.324097	0.108921	0.188329	0.477585	-0.048827	-0.364208	0.415701	0.364174	0.376895	0.324407	-0.356895	-0.0319309999999999	-0.23613	0.367579
0.836519	-0.416875	0.799463	0.599497	0.365347	0.581279	0.14585	-0.516919	0.376004	0.218007	0.327107	0.263006	-0.299993	0.0472440000000001	-0.362695	0.51817
0.526029	-0.889197	0.512687	0.550426	0.299192	0.637385	0.535038	-0.585715	0.725074	0.438701	0.754105	0.496494	-0.129531	-0.00741300000000011	-0.322326	0.493686
0.565465	-0.956137	0.43906	0.501086	-0.088685	0.443028	0.314058	-0.59571	0.609606	0.149513	0.423857	0.239312	0.232372	0.338676	0.053509	0.813039
0.577287	-0.828335	0.460206	0.538223	-0.561417	-0.023584	-0.180352	-0.888993	0.816869	0.394037	0.699304	0.476014	0.573507	0.479169	0.277779	0.886642
0.692081	-0.859484	0.566983	0.559663	-0.368571	0.145404	0.049434	-0.638065	0.675759	0.225895	0.424401	0.297349	0.138629	0.332767	0.017458	0.726877
1.352754	-0.031604	0.987471	0.969166	-0.767887	0.008934	-0.071957	-0.775879	0.877198	0.595725	0.877846	0.629271	-0.038306	0.210603	0.020526	0.691576
0.51825	-0.897461	0.331053	0.398522	-0.654361	0.294707	0.200364	-0.434926	0.80172	0.649692	0.863325	0.657533	0.37888	0.5715	0.295229	0.881013
1.547736	0.500745	0.943095	1.058588	-0.591592	0.38422	0.279797	-0.298553	0.471037	0.351453	0.521518	0.380961	0.273248	0.423872	0.310125	0.795318
0.287491	-0.773655	-0.00841500000000001	0.357117	-0.641421	0.515372	0.543692	-0.111458	0.247348	0.0921	0.151717	0.05248	0.86039	0.859651	0.714596	1.072715
1.481804	0.553057	0.889891	1.02808	-0.850064	0.279238	0.213999	-0.316568	-0.153329	-0.279111	-0.485256	-0.383332	1.73581	1.372932	1.364683	1.438851
0.610065	-1.028222	0.436593	0.604127	-0.529386	0.440944	0.335779	-0.382551	0.146727	0.041774	-0.054089	-0.058925	0.900494	0.782691	0.579635	0.902672
1.685471	-0.288169	1.455518	1.216569	-0.819847	0.307502	0.263933	-0.717464	0.793695	0.842695	0.865194	0.782395	0.658858	0.791506	0.501702	0.939009
1.349789	-0.45177	1.075667	0.915183	-0.193104	0.896989	0.771388	0.047381	0.298045	0.241305	-0.029299	0.163011	0.982747	1.169093	0.870354	1.221664
1.819436	0.127727	1.532688	1.132654	-0.378721	0.585791	0.545159	-0.036463	0.606174	0.523301	0.324547	0.470302	0.894198	1.200691	0.912525	1.250022
1.163596	-0.732643	1.341637	0.757158	-0.424485	0.561626	0.582635	0.00172	0.835879	0.748313	0.666338	0.80536	-0.048996	0.418994	0.110428	0.44139
2.384775	0.538974	2.072575	1.454502	-1.079411	-0.119881	-0.131335	-0.707587	0.900709	0.769559	0.82505	0.885002	1.204246	1.34238	1.28132	1.411125
1.119551	-0.607149	0.956369	0.502999	-1.013879	-0.169779	-0.143462	-0.826086	0.905064	0.706891	0.824349	0.811361	0.820219	1.021675	1.006364	1.12552
1.531003	0.122991	1.027456	0.74962	-0.523763	0.163998	0.189814	-0.556547	0.708652	0.450836	0.478522	0.586864	-0.3864	0.083929	-0.098218	0.242652
0.644066	-0.657786	0.068394	0.125783	0.164322	0.507727	0.707508	-0.041382	0.374207	0.051809	0.015226	0.189751	-0.257957	0.186239	-0.098218	0.288937
0.671374	-0.564684	-0.122214	0.184669	0.128978	0.361496	0.627027	-0.162012	1.1094	0.853846	1.044511	0.968162	-0.163369	0.288256	-0.00354399999999999	0.442437
0.027121	-1.059846	-0.737365	-0.125992	-0.205267	0.217262	0.353128	-0.357045	0.796886	0.537536	0.568513	0.617657	0.494437	0.732646	0.515729	0.912198
0.989321	0.26204	-0.020701	0.542702	-0.646052	0.016796	0.0664399999999998	-0.581744	1.445516	1.240872	1.534484	1.392498	0.87559	1.105956	0.872911	1.211249
0.76828	-0.202379	-0.231371	0.40277	-1.321515	-0.23458	-0.254597	-0.715723	1.35991	1.150478	1.294554	1.191635	1.143321	1.29866	1.172928	1.464541
1.144745	0.322021	0.172568	0.774288	-1.207478	0.074538	0.0360319999999998	-0.475057	1.364982	1.180867	1.359352	1.217004	0.555277	0.836176	0.616684	0.898211
0.936651	-0.119672	-0.147411	0.462774	-1.486894	0.00110700000000008	-0.211647	-0.556547	0.555402	0.393423	0.280557	0.36437	0.367396	0.674685	0.357947	0.730618
1.105877	-0.089116	-0.057903	0.498814	-1.004596	0.518858	0.412511	-0.016215	0.555402	0.463252	0.27338	0.438907	0.582129	0.752695	0.465774	0.820852
0.402502	-0.920443	-0.515607	0.201003	-1.488203	0.154524	0.029763	-0.393599	0.647053	0.571893	0.453159	0.618409	1.667727	1.517113	1.370647	1.665862
1.391309	-0.045951	0.124942	0.719721	-1.303785	0.226639	0.270468	-0.163258	0.55923	0.551228	0.302049	0.443436	0.613507	0.747818	0.410263	0.834436
0.793249	-0.857093	-0.155289	0.415382	-1.486894	-0.00738500000000009	-0.0692299999999999	-0.429626	0.705397	0.625979	0.501603	0.572987	0.135725	0.24831	-0.029534	0.328173
1.223181	-0.461973	0.308901	0.592323	-1.579157	-0.112257	-0.0444120000000001	-0.406955	0.698273	0.672971	0.405213	0.522002	-0.214444	0.05439	-0.144018	0.183215
0.988737	-1.111049	0.229888	0.326071	-2.112516	-0.637637	-0.707223	-0.993694	0.555402	0.533775	0.281587	0.396925	0.038102	0.274752	0.206349	0.48341
1.690487	-0.544341	0.88077	0.600308	-2.043137	-0.63022	-0.570277	-0.930462	0.437519	0.360128	-0.0168700000000001	0.21789	-0.361492	-0.026103	-0.117569	0.25051
1.274017	-0.925759	0.46133	0.236924	-1.343347	-0.071998	0.115809	-0.365696	0.525993	0.405605	0.156263	0.34561	0.342237	0.491416	0.391745	0.820553
1.349697	-0.451792	0.433279	0.47183	-1.294616	-0.266257	-0.13046	-0.637139	0.492633	0.353979	0.0712260000000001	0.367298	0.510571	0.732646	0.474559	0.952016
0.683232	-0.791739	-0.242784	0.162581	-0.738166	0.178596	0.109532	-0.284959	0.549699	0.378288	0.224011	0.443436	0.214943	0.439669	0.102063	0.692283
0.518892	-0.874446	-0.50058	0.192169	-1.183483	0.008934	-0.099558	-0.543489	0.636095	0.375236	0.410286	0.469079	1.150246	1.222996	0.930122	1.431414
-0.015314	-1.532278	-0.840106	-0.066276	-1.856966	-0.524019	-0.706918	-1.105339	1.002741	0.838295	0.919163	0.844615	1.804178	1.74217	1.465351	1.964395
0.244009	-1.042862	-0.55304	0.154921	-2.040544	-0.563601	-0.602411	-1.018591	0.89401	0.629248	0.877226	0.821039	1.72617	1.611233	1.296351	1.867112
-0.065665	-1.59673	-0.776079	-0.080654	-2.017629	-0.410627	-0.455858	-0.919599	0.615954	0.366188	0.500583	0.52288	1.156044	1.112552	0.733869	1.306701
0.839003	-0.500632	-0.076176	0.426868	-1.948702	-0.40137	-0.404574	-0.833953	0.590443	0.447777	0.494074	0.572987	0.8456	0.899977	0.539712	1.231272
0.248268	-1.219392	-0.485337	0.081358	-1.972023	-0.465384	-0.373553	-0.85214	0.308725	0.097403	-0.02813	0.170889	0.531741	0.596562	0.195004	0.920805
0.809736	-0.502029	-0.005732	0.43455	-2.041466	-0.578436	-0.638979	-1.088094	0.390811	0.333008	0.308232	0.39496	0.709021	0.724412	0.512398	1.089904
0.573608	-0.749266	-0.033441	0.258293	-1.83391	-0.288544	-0.294867	-0.777717	0.331766	0.160419	0.011076	0.21789	0.313658	0.411147	0.137359	0.711552
0.846839	-0.882708	0.28744	0.265216	-1.718263	-0.160261	-0.215819	-0.742735	0.50245	0.333008	0.225108	0.36928	0.393769	0.481198	0.137359	0.834424
0.873506	-1.213295	0.120453	0.118173	-1.533007	-0.136035	-0.148204	-0.639558	0.806609	0.662885	0.658162	0.718269	0.570507	0.581795	0.195004	0.854533
0.991646	-0.594259	0.272372	0.345244	-1.22779	-0.071998	-0.260442	-0.676357	0.804973	0.703454	0.665012	0.76851	0.261923	0.309998	-0.145795	0.644969
0.33862	-1.105809	-0.199614	0.110802	-0.760693	0.34094	0.301035	-0.156342	0.686027	0.45181	0.623758	0.641744	0.377761	0.595929	0.021105	0.849027
0.636227	-0.816791	-0.059291	0.353656	-1.133161	-0.0963660000000001	-0.161414	-0.648036	0.595798	0.400144	0.56163	0.615438	-0.336271	-0.00615300000000002	-0.592313	0.321034
0.299042	-1.004207	-0.26021	0.318375	-1.437558	-0.299496	-0.413592	-0.969193	0.56439	0.293004	0.436686	0.561878	0.15624	0.509294	-0.010586	0.865988
1.030207	-0.339318	0.136685	0.635883	-1.464031	-0.265318	-0.342584	-0.913522	0.6843	0.430821	0.609985	0.638925	0.643718	0.867775	0.509617	1.172707
0.085546	-1.156529	-0.294454	0.206728	-1.741515	-0.329586	-0.300497	-1.006711	0.103385	-0.267523	-0.237011	0.015405	0.15624	0.477798	-0.026467	0.778363
0.512496	-0.824607	-0.016714	0.367053	-2.087266	-0.808899	-0.799824	-1.474082	-0.235461	-0.625721	-0.757812	-0.413025	0.463877	0.646772	0.302486	1.069327
-0.246512	-1.482909	-0.512745	-0.071868	-2.156969	-0.904194	-0.971563	-1.542053	0.10815	-0.223557	-0.347026	-0.0804579999999999	-0.230213	0.040403	-0.324836	0.356619
0.305283	-1.212249	-0.107706	0.111352	-2.15749	-0.798295	-0.831225	-1.425839	-0.00365099999999996	-0.347951	-0.533984	-0.227829	-0.563795	-0.292905	-0.652749	0.00910900000000001
1.105885	-0.309107	0.392462	0.330248	-2.111968	-0.622267	-0.446497	-1.036688	-0.030968	-0.411836	-0.607745	-0.346896	-0.129531	0.048222	-0.123317	0.338838
0.951455	-0.64811	0.423832	0.125756	-2.205512	-0.861639	-0.789955	-1.333413	0.66902	0.459753	0.445526	0.475528	-1.699162	-1.100931	-1.447959	-0.76305
1.401064	0.159633	0.573648	0.329696	-1.555643	-0.325016	-0.21359	-0.84339	0.354966	0.119484	-0.0653899999999999	0.0737869999999999	-0.023381	0.093085	0.01319	0.48448
0.749366	-0.377926	-0.110851	0.0312720000000001	-1.29974	-0.302435	-0.165669	-0.876973	0.858614	0.763883	0.816436	0.796346	-0.498414	-0.116763	-0.305816	0.231872
0.372896	-0.534811	-0.432591	-0.171748	-1.741294	-0.646796	-0.612885	-1.190962	0.827793	0.652964	0.658298	0.596008	-0.456873	-0.049787	-0.332226	0.271142
-0.186404	-0.988439	-0.910214	-0.427479	-1.603503	-0.287239	-0.227333	-0.859267	0.403876	0.10008	0.015226	0.0452990000000001	-0.025025	0.199664	-0.00265500000000002	0.510133
0.445519	-0.297094	-0.462767	-0.041809	-2.132379	-0.597773	-0.654482	-1.213939	0.461116	0.132971	0.0432419999999999	0.093293	0.665994	0.811891	0.59401	1.086525
-0.468517	-1.276754	-0.96246	-0.34938	-2.063448	-0.470754	-0.649343	-1.116857	0.722278	0.595725	0.6238	0.54751	0.37888	0.55271	0.195008	0.818815
0.530429	-0.188392	-0.228488	0.213289	-1.903016	-0.087685	-0.111468	-0.748869	0.354966	0.218007	0.115226	0.221308	0.494437	0.564636	0.217967	0.820553
-0.093469	-1.049921	-0.774719	-0.174578	-1.511894	0.24023	0.219096	-0.344143	0.374207	0.262701	0.077162	0.239303	0.707318	0.736434	0.352105	0.994043
0.795198	-0.297094	0.028948	0.337733	-2.227829	-0.472871	-0.597129	-1.151463	0.56988	0.47275	0.381985	0.465521	0.418329	0.564636	0.16411	0.899136
